,Author,Author,Fork,Fork
1684: SEVERE GI DYSMOTILITY ASSOCIATED WITH PHEOCHROMOCYTOMA IMPROVED AFTER CONTINUOUS IV PHENTOLAMINE,0.5,0.5,0,1
16: ICU Telemedicine and Clinical Factors Related to 30-Day Mortality: A Retrospective Cohort Study,0.5,0.5,1,0
173: Functional Outcome Following an Acute Ischemic Stroke: Sex Differences,1,0,0,1
183: VARIATION IN USE OF HIGH-FLOW NASAL CANNULA AND NONINVASIVE VENTILATION IN COVID-19,0.5,0.5,0,1
185: DOPPLER-DEFINED ACUTE PULMONARY HYPERTENSION IN SEPSIS AND SEPTIC SHOCK,0.4,0.6,0,1
190: ASSOCIATION OF OBESITY AND COVID-19-INDUCED DIARRHEA: RESULTS FROM THE SCCM DISCOVERY VIRUS REGISTRY,0.1875,0.8125,0,1
194: CHRONIC ANTICOAGULANT USE PRIOR TO COVID-19 DIAGNOSIS: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.3,0.7,0,1
194: RISK FACTORS FOR DEXMEDETOMIDINE-ASSOCIATED HEMODYNAMIC INSTABILITY IN NON-CARDIAC ICU PATIENTS,0,1,0,1
1955: IMPLEMENTATION OF AN ON-DEMAND ICU-TELEMEDICINE CONSULT IN TWO LONG-TERM ACUTE CARE HOSPITALS,0.6,0.4,1,0
199: VARIATION IN USE OF REPURPOSED MEDICATIONS AMONG PATIENTS WITH COVID-19,0.388888889,0.611111111,0,1
1: CHILDREN WITH CARDIAC DISEASE ON EXTRACORPOREAL MEMBRANE OXYGENATION ARE AT RISK FOR SEIZURES,0,1,0,1
2002 Youth Smoking Survey-Technical Report,0.5,0.5,1,0
2018‚Äì2019 SCCM Executive Committee and Council,1,0,0,1
2020‚Äì2021 SCCM Executive Committee and Council,1,0,0,1
2021‚Äì2022 SCCM Executive Committee and Council,1,0,0,1
202: Best ‚ÄúBetter Early Stroke Treatment‚Äù: Implementation of Nursing Questionnaire Aids in Triage of Acute Ischemic Stroke Patients,1,0,0,1
20: METABOLIC SYNDROME AND ARDS IN COVID-19,0.444444444,0.555555556,0,1
211: MUCORMYCOSIS AMONG COVID-19 HOSPITALIZED PATIENTS DURING PANDEMIC WAVE 2 IN INDIA: A CASE SERIES,0.7,0.3,0,1
215 Exploring the Use of Exchange Transfusion in the Surgical Management of Priapism in Sickle Cell Disease: A Population-Based Analysis,1,0,0,1
21: EARLY DETECTION OF ACUTE LUNG INJURY IN CRITICALLY ILL PATIENTS USING A MATHEMATICAL INFERENCE MODEL,0.222222222,0.777777778,0,1
23 pseudo blood-leak? A hemodialysis mystery,0.75,0.25,1,0
232: REMOTE SIMULATION TRAINING WITH CERTAIN CHECKLIST IN 11 COUNTRIES,0.428571429,0.571428571,0,1
232: evaluation of post-intubation hypotension using pre-intubation shock index and modified shock index,0.4,0.6,0,1
2378 Addressing challenges from missing data in a global quality improvement study,0.428571429,0.571428571,0,1
238: RETROSPECTIVE USE OF AN ELECTRONIC CHECKLIST AT RAPID RESPONSE TEAM ACTIVATIONS: A CERTAIN STUDY,0,1,0,1
23: CARDIORENAL SYNDROME IN SEPSIS AND SEPTIC SHOCK: THE MAYO CLINIC EXPERIENCE,0.4,0.6,0,1
243: CHECKLIST FOR EARLY RECOGNITION AND TREATMENT OF ACUTE ILLNESS: EVOLUTION OF CONTENT MANAGEMENT,0.5,0.5,0,1
247: Is Non-invasive Impedance Cardiography Recording for Shock Patients in the Emergency Department Useful for Outcome Analysis?,1,0,0,1
24: VARIATION IN MANAGEMENT OF COVID-19 ACUTE RESPIRATORY DISTRESS SYNDROME AND ASSOCIATED MORTALITY,0.333333333,0.666666667,0,1
251: ASSOCIATION OF EARLY HEPARIN USE AMONG PATIENTS WITH COVID-19 AND SEPSIS AND HOSPITAL OUTCOMES,0.333333333,0.666666667,0,1
260: SURVIVAL FOLLOWING AKI IN ADULTS WHO RECEIVED EXTRACORPOREAL CARDIOPULMONARY RESUSCITATION.,0.25,0.75,0,1
269: HOW DO FRONTLINERS LEARN DURING A PANDEMIC? A GLOBAL SURVEY EVALUATING COVID-19 WEBINARS,0.272727273,0.727272727,0,1
26: IS FLUID ADMINISTRATION WITHIN SIX HOURS EARLY ENOUGH FOR BETTER PATIENT OUTCOMES IN SEPSIS AND SEPTIC SHOCK?,0.6,0.4,0,1
275: PREDICTION FOR NEED OF VASOPRESSORS BY VITALS AND PHYSICAL EXAMINATION FINDINGS IN EARLY SHOCK,0.333333333,0.666666667,0,1
283 Incidence and prognostic impact of prostate cancer on cystectomy specimens: results of a French multicenter study,1,0,1,0
28: Right ventricular dysfunction in sepsis and septic shock: an eight-year analysis,0.6,0.4,0,1
290: ASSESSING KNOWLEDGE AND CONFIDENCE OF THE NURSE PRACTITIONER AND PHYSICIAN ASSISTANT RESIDENT,0.2,0.8,0,1
291: ASSOCIATION OF DEMENTIA AND OUTCOMES AMONG HOSPITALIZED COVID-19 PATIENTS,0.25,0.75,0,1
305: Awareness of Stroke Symptoms in the Highest Risk Group: The Elderly,1,0,0,1
306: The Impact of Unknown Diabetes in the Icu,0,1,0,1
30: HIGHER HEMATOCRIT LEVEL IS ASSOCIATED WITH WORSE OUTCOME IN POST-CARDIAC ARREST PATIENTS UNDERGOING THERAPEUTIC HYPOTHERMIA,0.25,0.75,0,1
316: ICU ROUNDS AND MENTAL FATIGUE,0.666666667,0.333333333,0,1
318: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH HOSPITAL AND ICU ADMISSION IN COVID-19,0.375,0.625,0,1
319: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH INTUBATION AND SEVERITY OF COVID-19,0.375,0.625,0,1
324. Sensitivity and specificity of fractal analysis to distinguish between healthy and pathological rectal mucosa microvasculature seen during colonoscopy,1,0,0,1
332: The New FOUR Score Coma Scale as a Predictor of Functional Outcome at Hospital Discharge Following ED Presentation for Neurologic Complaint,1,0,0,1
33: OPTIC NERVE SHEATH DIAMETER CHANGES IN CHILDREN WITH VARYING DEGREES OF INTRACRANIAL PRESSURE,0.375,0.625,0,1
356: THERAPEUTIC USE OF BARICITINIB IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.375,0.625,0,1
368. Successful treatment of resistant visceral leishmania with repeated trial of Liposomal Amphotericin B-A Case Report,0.8,0.2,0,1
37: Lower Thoracic Fluid Impedance Measured Non-invasively by Impedance Cardiography Predicts ICU Admission and In-hospital Mortality in Emergency Department Shock Patients,1,0,0,1
37th International Symposium on Intensive Care and Emergency Medicine (part 3 of 3),1,0,0,1
383: MYOCARDITIS DUE TO LEGIONELLA: A CASE REPORT,0.5,0.5,0,1
384: RISK FACTORS FOR SEIZURES IN CHILDREN ON CARDIAC ECMO,0.25,0.75,0,1
38: CERTAIN: an international quality improvement study in the intensive care unit,0.368421053,0.631578947,0,1
393: Real Time Documentation of Reasons for Delay to ED Presentation After Acute Ischemic Stroke,1,0,0,1
399: Does Emergency Department Serum Troponin Compare with the Cerebral Infarct Volume on Diffusion Weighted MRI in Patients with Acute Ischemic Stroke?,1,0,0,1
402: BEST ‚ÄúBetter Early Stroke Treatment‚Äù: Implementation of an Acute Stroke Pathway Improves Emergency Department Throughput,1,0,0,1
413: PREDICTORS OF RE-EXPLORATION FOR BLEEDING AFTER LIVER TRANSPLANT: A 3 YEAR MAYO CLINIC EXPERIENCE,0.166666667,0.833333333,0,1
441: RACIAL DIFFERENCES IN THE IMPACT OF DIABETES AND GLYCEMIC CONTROL ON MORTALITY IN ICU PATIENTS,0.25,0.75,0,1
45: Computerized Recruiting for Clinical Research in the Emergency Department,1,0,0,1
461: EXPLORING THE LANDSCAPE OF SYMPTOM BURDEN IN CRITICAL ILLNESS SURVIVORS,1,0,1,0
472: HOSPITAL-ACQUIRED ACHROMOBACTER DENITRIFICANS BACTEREMIA: CASE REPORT AND REVIEW OF LITERATURE,0.5,0.5,0,1
489: MODULATION OF THE ANTIVIRAL RESPONSE THROUGH THE LINEAR UBIQUITIN CHAIN ASSEMBLY COMPLEX (LUBAC),1,0,0,1
491: 2009 H1N1 AND SEASONAL INFLUENZA INFECTION: ICU COURSE AND OUTCOMES,0.4,0.6,0,1
495: THE TURN TEAM: A NOVEL STRATEGY FOR REDUCING UNIT ACQUIRED PRESSURE ULCERS IN THE ICU,0.6,0.4,0,1
4: Hyperglycemia Does Not Predict Functional Outcome in Lacunar Strokes,1,0,0,1
4: VALIDATION OF HEPARIN-INDUCED THROMBOCYTOPENIA RISK STRATIFICATION TOOLS IN POST-SURGICAL PATIENTS,0.6,0.4,0,1
501: The Impact of the Primary Team presence during Rapid Response Team Activation,0,1,0,1
502: Subjective and Objective Criteria for the Rapid Response Team: A Prospective Evaluation,0,1,0,1
51 Optimizing Urinalysis Turnaround Times in the Emergency Department,1,0,1,0
514: ASSOCIATION BETWEEN DELAYS IN CENTRAL VENOUS CATHETER UTILIZATION AND ORGAN DYSFUNCTION IN PATIENTS WITH SEVERE SEPSIS AND SEPTIC SHOCK,0.2,0.8,0,1
51: INCREASED RISK OF MENTAL DISORDERS ASSOCIATED WITH CHILDHOOD INVASIVE MECHANICAL VENTILATION,0.5,0.5,0,1
52 Limiting the Number of Open Charts in the Electronic Medical Record Does Not Decrease Order Errors in the Emergency Department,1,0,1,0
52 The Derivation of Life Tables for Local Areas,0.5,0.5,1,0
530: The Impact of Blood Product Ratios on Survival in Non-Trauma Massive Transfusions,0,1,0,1
539: LONG-TERM MORTALITY AND PREDICTORS AMONG PATIENTS WITH ACUTE RESPIRATORY FAILURE‚ÄìA POPULATION-BASED STUDY,0.5,0.5,0,1
542: SOCIOECONOMIC STATUS PLAYS A ROLE IN ADVANCE CARE PLANNING AMONG ADULTS IN THE ICU,0.125,0.875,0,1
564: CULTURAL COMPETENCE IN ACUTE AND CRITICAL CARE MEDICINE: LITERATURE REVIEW AND RECOMMENDATIONS,0.333333333,0.666666667,0,1
"56: MORTALITY, GLYCEMIC CONTROL AND HEMOGLOBIN A1C (A1C) IN THE ICU",0.25,0.75,0,1
57: DIFFERENCES IN ADVANCE PRACTICE PROVIDER RESIDENCY LENGTH: 12-MONTH VERSUS 6-MONTH TRAINING,0.571428571,0.428571429,0,1
597: TIMING OF ARDS RESOLUTION UNVEILED‚ÄìA PILOT OF TARU STUDY,0.25,0.75,0,1
60: REEXPLORING GOALS OF CARE IN PATIENTS SURVIVING CRITICAL ILLNESS,0.6,0.4,1,0
61: Risk factors for severe COVID-19 illness in children: analysis of the VIRUS: COVID-19 registry,0.4,0.6,0,1
62: IMPACT OF GENDER AND ETHNICITY ON OUTCOMES IN PATIENTS WITH SEPSIS AND AKI,0.4,0.6,0.5,0.5
630: THE ASSOCIATION OF SEPTIC SHOCK DEFINITIONS AND OUTCOMES IN BLOOD CULTURE-POSITIVE ICU PATIENTS,0.333333333,0.666666667,0,1
635: THE OUTCOME OF ADVERSE EVENTS AND MEDICAL ERRORS IN INTENSIVE CARE UNIT: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.375,0.625,0,1
64: FACTORS PREDICTING KIDNEY TRANSPLANT RECIPIENT ADMISSION TO THE ICU: A 10-YEAR SINGLE-CENTER STUDY,0,1,0,1
652: Identifying risk factors for ICU readmission,0.5,0.5,0,1
"67: Insular Involvement in Acute Middle Cerebral Artery Stroke Patients Presenting to the Emergency Department as a Window to Stroke Severity, Stroke Subtype, Functional ‚Ä¶",1,0,0,1
70. Intraoperative anatomical landmarks for identification of the recurrent laryngeal nerve during thyroidectomy: A meta-analysis,1,0,0,1
"707 Perez-Zoghbi J, and Emala CW, Sr",1,0,0,1
710: THE EFFECTS OF ANTIMICROBIAL BUNDLE PROPHYLAXIS ON NOSOCOMIAL INFECTIONS AND ANTIBIOTIC UTILIZATION,0.571428571,0.428571429,0,1
716: The Interrater Reliability of Color Doppler Imaging of the Central Retinal Vessels,0.4,0.6,0,1
717: ASSOCIATION OF PULMONARY HYPERTENSION AND MORTALITY IN PATIENTS WITH VENTILATOR ASSOCIATED EVENTS,0,1,0,1
739: VALIDATION OF AN ELECTRONIC SNIFFER FOR CALCULATION OF SIMPLIFIED PULMONARY EMBOLISM SEVERITY INDEX,0.166666667,0.833333333,0,1
74 Correspondence 76 Obituaries,1,0,1,0
765: DESIGN AND Œë-TESTING OF AN ELECTRONIC ROUNDING TOOL (CERTAINP) TO IMPROVE PROCESS OF CARE IN THE PICU,0.571428571,0.428571429,0,1
771: TEAM BASED PERFORMANCE IMPROVEMENT PROTOCOL INCREASED PATIENT SATISFACTION,0.625,0.375,0,1
799: PREHOSPITAL USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.25,0.75,0,1
799: REDUCTION IN POINT-OF-CARE BLOOD GLUCOSE MEASUREMENTS IN THE MEDICAL ICU,1,0,1,0
79: Serum Magnesium as a Predictor of Stroke Severity,0.857142857,0.142857143,0,1
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,0.470588235,0.529411765,0,1
7: OUTCOMES OF REPEATED EXTRACORPOREAL MEMBRANE OXYGENATION IN ADULTS: ANALYSIS OF THE ELSO REGISTRY,0.5,0.5,0,1
80: A SURVEY ON THE CURRENT STATE OF ENDOTRACHEAL INTUBATIONS IN THE ICU AMONG THE CRITICALLY ILL,0.166666667,0.833333333,0,1
811: HIGHER THRESHOLD BLOOD PRESSURE IS ASSOCIATED WITH WORSE OUTCOMES IN CRITICALLY-ILL HYPERTENSIVE PATIENTS,0.25,0.75,0,1
826: Titration of inspired oxygen levels during mechanical ventilation through a respiratory therapist driven approach based on an electronic surveillance system (Tools),0.142857143,0.857142857,0,1
828: DEVELOPMENT AND VALIDATION OF A SKILL ASSESSMENT TOOL FOR MEDICAL EMERGENCIES IN A SIMULATION CENTER,0.285714286,0.714285714,0,1
828: SERUM POTASSIUM LEVELS IN PATIENTS UNDERGOING THERAPEUTIC HYPOTHERMIA AFTER CARDIAC ARREST.,0,1,0,1
849: EXPLORING THE INTERSECTION BETWEEN PALLIATIVE CARE AND CRITICAL ILLNESS SURVIVORSHIP,0.75,0.25,1,0
857: EVALUATION OF ROUNDING STRUCTURE IN A MEDICAL ICU BEFORE AND AFTER ELECTRONIC ROUNDING TOOL IMPLEMEN,0.166666667,0.833333333,0,1
862: Validation of an electronic surveillance system with a decision support tool for titration of inspired oxygen levels during mechanical ventilation in adults,0.142857143,0.857142857,0,1
863: RESPIRATORY CARE UNIT (RCU) QUALITY IMPROVEMENT INITIATIVE ROUNDING AND COMMUNICATION BUNDLE,0.375,0.625,0,1
883: USE OF CONTINUOUS PROPOFOL INFUSION IN A PEDIATRIC INTENSIVE CARE UNIT: IS IT TIME TO RECONSIDER?,0.666666667,0.333333333,0,1
883Is the Patient the Problem? A look at baseline characteristics of patients with Infectious Ventilator Associated Events,0.333333333,0.666666667,0,1
890: THERAPEUTIC USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,0.25,0.75,0,1
8: Ophthalmic ultrasound detects retinal injury in children with abusive head trauma,0.444444444,0.555555556,0,1
917: PEDIATRIC DAILY SPONTANEOUS BREATHING TRIAL: A MULTIDISCIPLINARY APPROACH TO EXTUBATION READINESS,0.166666667,0.833333333,0,1
935: MORTALITY PREDICTION SCORING SYSTEMS FOR ADULTS ADMITTED TO EMERGENCY DEPARTMENT: A SYSTEMATIC REVIEW,0.166666667,0.833333333,0,1
972: VENTILATION PRACTICES IN CHILDREN ON VENOVENOUS EXTRACORPOREAL MEMBRANE OXYGENATION,0,1,0,1
983. Hand Hygiene not only the Motion but the Moments,0.428571429,0.571428571,0,1
989: ASSOCIATION OF HEMATOLOGIC PARAMETERS AND SEPSIS-INDUCED CARDIOMYOPATHY,0.5,0.5,0,1
> of Dijon-Summaries-Profile of cytokines produced by lymphocytes from mice intranasally inoculated with rotavirus-like particles.,1,0,1,0
"A Call For Inclusion Of Developing Countries In International Clinical Trials: Results From A World-Wide Comparative Survey On PICU Resources, Manpower And Disease Burden",0.2,0.8,0,1
A Class of Semiparametric Tests of Treatment Effect Robust to Confounder Classical Measurement Error,0,1,0,1
A Comprehensive Literature Review of Fournier‚Äôs Gangrene in Females,0.4,0.6,0,1
A Descriptive Study of Late Intensive Care Unit Admissions After Adult Solitary Kidney Transplantation,0,1,0,1
A Learning Health System Approach to Long COVID Care,0.388888889,0.611111111,1,0
A Multimodal Analysis of Brain Functional and Structural Imaging in Middle-aged Adults with Type 1 Diabetes,0.333333333,0.666666667,0,1
A Novel GABAA Receptor Î±5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes Airway Smooth Muscle Contracted With Diverse Ligands,0.6,0.4,0,1
A Novel Risk Prediction Model to Triage Difficult Urethral Catheterizations,0.5,0.5,0,1
