Publication Title,Author_female,Author_male,Fork_female,Fork_male
957: THE ASSOCIATION OF EARLY ANTIBIOTIC USE WITH PROLONGED MECHANICAL VENTILATION IN SEVERE COVID-19,0.5,0.5,0.0,1.0
A Comparison Between Sensitivity Analysis of Oxygenation Severity and Acute Respiratory Distress Syndrome (ARDS) of a Machine Learning Algorithm to Predict Hypoxic Respiratory ‚Ä¶,1.0,0.0,1.0,0.0
A Framework for Developing a Multidisciplinary Approach to Prone Positioning in Acute Respiratory Distress Syndrome,0.2857142857142857,0.7142857142857143,0.0,1.0
A Real-Time Deep Learning Approach for Inferring Intracranial Pressure from Routinely Measured Extracranial Waveforms in the Intensive Care Unit,0.375,0.625,0.0,1.0
A focus on subtle signs and motor behavior to unveil awareness in unresponsive brain-impaired patients: the importance of being clinical,0.6,0.4,0.0,1.0
A multi-modal array of interpretable features to evaluate language and speech patterns in different neurological disorders,0.25,0.75,0.0,1.0
Abnormal thrombosis and neutrophil activation increase hospital-acquired sacral pressure injuries and morbidity in COVID-19 patients,0.45454545454545453,0.5454545454545454,0.0,1.0
Adjunctive Vasopressors in Patients with Septic Shock: Protocol for a Systematic Review and Meta-Analysis,1.0,0.0,1.0,0.0
An annotated ventricular tachycardia (VT) alarm database: Toward a uniform standard for optimizing automated VT identification in hospitalized patients,0.5714285714285714,0.42857142857142855,1.0,0.0
"Assessment of Symptom, Disability, and Financial Trajectories in Patients Hospitalized for COVID-19 at 6 Months",0.33783783783783783,0.6621621621621622,0.6666666666666666,0.3333333333333333
Assistive Multimodal Wearable for Open Air Digit Recognition Using Machine Learning,0.3333333333333333,0.6666666666666666,0.0,1.0
Association of Noninvasive Respiratory Support with Extubation Outcomes in Brain-injured Patients Receiving Mechanical Ventilation: A Secondary Analysis of the ENIO Prospective ‚Ä¶,0.16666666666666666,0.8333333333333334,0.0,1.0
Attosecond-Angstrom free-electron-laser towards the cold beam limit,1.0,0.0,1.0,0.0
Author reply: DoC: a pathophysiological continuum with high variabiity?,0.0,1.0,0.0,1.0
Author reply: Too less experiments for an ALE-meta analysis?,0.0,1.0,0.0,1.0
Automated Matching of Patients to Clinical Trials: A Patient-Centric Natural Language Processing Approach for Pediatric Leukemia,0.16666666666666666,0.8333333333333334,0.0,1.0
COMPASS-CAT versus Khorana risk assessment model for predicting venous thromboembolic events in patients with non-small cell lung cancer on active treatment with chemotherapy ‚Ä¶,0.45454545454545453,0.5454545454545454,0.0,1.0
Cardiogenic shock complicating sepsis and septic shock: A national inpatient sample analysis.,1.0,0.0,1.0,0.0
Cardiovascular Adverse Events after COVID-19 Vaccination,0.5,0.5,0.0,1.0
Caring for two in the ICU: Pharmacotherapy in the critically ill pregnant patient,0.5714285714285714,0.42857142857142855,1.0,0.0
Caring for two in the ICU: pharmacologic management of pregnancy‚Äêrelated complications,0.5,0.5,1.0,0.0
Central lung gene expression associates with myofibroblast features in idiopathic pulmonary fibrosis,0.2,0.8,0.0,1.0
Clinical Context From the Medical Record Improves Artificial Intelligence Models for Sepsis Prediction,1.0,0.0,1.0,0.0
Clinical Outcomes After Multi-Disciplinary Evaluation for Lung Volume Reduction Surgery for Patients With Chronic Obstructive Pulmonary Disease,1.0,0.0,0.0,1.0
Clot-in-transit: A ticking time bomb in the heart with serious consequences,0.5,0.5,0.0,1.0
Cognitive Motor Dissociation: Gap Analysis and Future Directions,0.3,0.7,0.0,1.0
Comparative effectiveness of decompressive craniectomy versus craniotomy for traumatic acute subdural hematoma (CENTER-TBI): an observational cohort study,0.4473684210526316,0.5526315789473685,0.0,1.0
Comparison of Expert Recommended Ventilation Strategies in Simulated Obstructive Lung Disease,1.0,0.0,0.0,1.0
Computational modelling in disorders of consciousness: closing the gap towards personalised models for restoring consciousness,0.25,0.75,0.0,1.0
Contribution of clinical course to outcome after traumatic brain injury: mining patient trajectories from European intensive care unit data,0.75,0.25,0.0,1.0
Correlation between Tissue Doppler-derived left ventricular systolic velocity (mitral S‚Äô) and left ventricle ejection fraction (LVEF) in sepsis and septic shock: A ‚Ä¶,0.4,0.6,1.0,0.0
Correlation between tissue Doppler-derived left ventricular systolic velocity (S‚Äô) and left ventricle ejection fraction in sepsis and septic shock: a retrospective cohort study,0.4,0.6,1.0,0.0
Critical Bias in Critical Care Devices,0.6666666666666666,0.3333333333333333,1.0,0.0
Decreased Incidence of Hospital-Acquired Infections After Implementation of Real-Time Visualization of Nursing Observations,1.0,0.0,0.0,1.0
Descriptive Comparison of Two Models of Tele-Critical Care Delivery in a Large Multi-Hospital Health Care System,0.4,0.6,1.0,0.0
Determinants of Professional Fulfillment and Burnout Among Intensivists: A National Survey by the Society of Critical Care Anesthesiologists in 2022,0.5,0.5,0.0,1.0
Development of a core outcome set for ventilation trials in neurocritical care patients with acute brain injury: protocol for a Delphi consensus study of international stakeholders,0.2857142857142857,0.7142857142857143,0.0,1.0
Digital cells radiation hardness study of TPSCo 65 nm CIS technology by designing a ring oscillator,1.0,0.0,1.0,0.0
Discharge Disposition and Loss of Independence Among Survivors of COVID-19 Admitted to Intensive Care: Results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,1.0,0.0,1.0,0.0
Discharge disposition and loss of independence among survivors of COVID-19 admitted to intensive care: results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,0.4,0.6,1.0,0.0
Early Extracorporeal Membranous Oxygenation (ECMO) Referral Leads to Less ECMO Use,1.0,0.0,0.0,1.0
Early serial echocardiographic and ultrasonographic findings in critically ill patients with COVID-19,0.5048543689320388,0.49514563106796117,1.0,0.0
Echocardiographic Profile of Cirrhotic Patients with Sepsis and Septic Shock: A Propensity Score Matched Case-Control Study,0.25,0.75,1.0,0.0
Echocardiographic profiles and hemodynamic response after vasopressin initiation in septic shock: A cross-sectional study,0.6,0.4,1.0,0.0
Emergency Nurses‚Äô Well-Being in Magnet Hospitals and Recommendations for Improvements in Work Environments: A Multicenter Cross-Sectional Observational Study,0.9846153846153847,0.015384615384615385,1.0,0.0
"Enrichment of Mortality Events in Patients With Substance Misuse for Critical Care Research Utilizing Local, State, and National Data Sources",1.0,0.0,0.0,1.0
Esophageal Pressure Measurement: A Primer,0.0,1.0,0.0,1.0
Establishment and Evaluation of a Protocol of Coud√© Catheter Placement by Nurses for Urinary Catheterization in Adult Males.,1.0,0.0,1.0,0.0
Facilitating the Next Paradigm Shift in Critical Care Through Artificial Intelligence,0.0,1.0,1.0,0.0
Fairness in the prediction of acute postoperative pain using machine learning models,0.4,0.6,0.0,1.0
First case of rapidly fatal mpox from secondary (household) transmission in a kidney transplant recipient,0.5,0.5,0.0,1.0
Forecasting imminent atrial fibrillation in long-term electrocardiogram recordings,0.2,0.8,1.0,0.0
Genetic patterning for child psychopathology is distinct from that for adults and implicates fetal cerebellar development,0.4,0.6,0.0,1.0
HIRA: heart rate interval based rapid alert score to characterize autonomic dysfunction among patients with sepsis-related acute respiratory failure (ARF),0.3333333333333333,0.6666666666666666,1.0,0.0
Heart Rate Variability (HRV) Based Interpretable Machine Learning Algorithm for Prediction of All-cause Acute Respiratory Failure (ARF) Among ICU Patients,1.0,0.0,1.0,0.0
Hyperacute Prediction of Targeted Temperature Management Outcome After Cardiac Arrest,0.3333333333333333,0.6666666666666666,0.0,1.0
Improving ICU Risk Predictive Models Through Automation Designed for Resiliency Against Documentation Bias,0.5,0.5,1.0,0.0
Incidence and Outcomes of Acute Respiratory Distress Syndrome in Brain-Injured Patients Receiving Invasive Ventilation: A Secondary Analysis of the ENIO Study,0.3333333333333333,0.6666666666666666,0.0,1.0
Incorporation of Serial 12-Lead Electrocardiogram With Machine Learning to Augment the Out-of-Hospital Diagnosis of Non-ST Elevation Acute Coronary Syndrome,0.0,1.0,1.0,0.0
Individualized Thresholds of Hypoxemia and Hyperoxemia and their Effect on Outcome in Acute Brain Injured Patients: A Secondary Analysis of the ENIO Study,0.2857142857142857,0.7142857142857143,0.0,1.0
Integrating multimodal information in machine learning for classifying acute myocardial infarction,0.25,0.75,1.0,0.0
"Intravenous aviptadil and remdesivir for treatment of COVID-19-associated hypoxaemic respiratory failure in the USA (TESICO): a randomised, placebo-controlled trial",0.47560975609756095,0.524390243902439,0.5,0.5
Is left ventricular systolic dysfunction associated with increased mortality among patients with sepsis and septic shock?,0.25,0.75,1.0,0.0
Longer Travel Distance to Subspecialty Clinic Associates With Lower Lung Function in Pulmonary Sarcoidosis,1.0,0.0,0.0,1.0
Lung Ultrasonographic Signs in Pulmonary Disease‚ÄìA Video Review,0.5,0.5,1.0,0.0
Machine Learning for the ECG Diagnosis and Risk Stratification of Occlusion Myocardial Infarction at First Medical Contact,0.29411764705882354,0.7058823529411765,1.0,0.0
Machine learning for ECG diagnosis and risk stratification of occlusion myocardial infarction,0.3333333333333333,0.6666666666666666,1.0,0.0
Mechanical Ventilation in patients with traumatic brain injury: Is it so Different?,0.5,0.5,0.0,1.0
"Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings, Part 1",0.3333333333333333,0.6666666666666666,1.0,0.0
Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings: part 2,0.36363636363636365,0.6363636363636364,1.0,0.0
Mining the contribution of intensive care clinical course to outcome after traumatic brain injury,0.8,0.2,0.0,1.0
Mining the contribution of intensive care clinical course to outcome after traumatic brain injury.,0.75,0.25,0.0,1.0
Mixed-Integer Projections for Automated Data Correction of EMRs Improve Predictions of Sepsis among Hospitalized Patients,0.2,0.8,1.0,0.0
Mortality of in-hospital cardiac arrest among patients with and without preceding sepsis: A national inpatient sample analysis,0.75,0.25,1.0,0.0
Multilingual evaluation of interpretable biomarkers to represent language and speech patterns in Parkinson's disease,0.2857142857142857,0.7142857142857143,0.0,1.0
Nationwide clinical practice patterns of anesthesiology critical care physicians: A survey to members of the Society of Critical Care Anesthesiologists,0.3,0.7,0.0,1.0
Noninvasive positive pressure in acute exacerbations of chronic obstructive pulmonary disease,0.3333333333333333,0.6666666666666666,0.0,1.0
Optimal Design of Clinical Trials Involving Persons with Disorders of Consciousness,0.3333333333333333,0.6666666666666666,0.0,1.0
Outcomes After Early Hypotension in Sepsis: A Retrospective Cohort Study,1.0,0.0,0.0,1.0
Outcomes after cardiac arrest in Medical Intensive Care Unit: A propensity score matching analysis of COVID-19 MICU vs non COVID-19 MICU cardiac arrest,0.0,1.0,0.0,1.0
Overt and occult hypoxemia in patients hospitalized with COVID-19,0.6666666666666666,0.3333333333333333,1.0,0.0
PO-02-021 DIRECTION OF REPOLARIZATION IN BASELINE ECG IS PREDICTIVE OF RESPONSE TO CARDIAC RESYNCHRONIZATION THERAPY,0.5,0.5,1.0,0.0
Peripheral administration of norepinephrine: a prospective observational study,0.5,0.5,0.5,0.5
"Physician and nurse well-being and preferred interventions to address burnout in hospital practice: factors associated with turnover, outcomes, and patient safety",0.7391304347826086,0.2608695652173913,1.0,0.0
Physiologic Markers of Disease Severity in ARDS,0.0,1.0,0.0,1.0
Plasma photocathodes,1.0,0.0,1.0,0.0
Pleural Infection and Gastric Distension: Finding the Connection With Sonographic Inspection,0.5,0.5,1.0,0.0
Predicting Intensive Care Delirium with Machine Learning: Model Development and External Validation,0.6666666666666666,0.3333333333333333,0.0,1.0
Predicting anti-cancer treatment-related symptoms in patients with head and neck cancer using a machine learning approach: A scoping review,1.0,0.0,1.0,0.0
Prevalence and Prognosis of Sepsis-Induced Cardiomyopathy: A Systematic Review and Meta-Analysis,0.5714285714285714,0.42857142857142855,1.0,0.0
Progress in hybrid plasma wakefield acceleration,0.26666666666666666,0.7333333333333333,1.0,0.0
"Prospective, multicenter study of antimicrobial-coated, noncrosslinked, acellular porcine dermal matrix (XenMatrix‚Ñ¢ AB Surgical Graft) for hernia repair in all centers for ‚Ä¶",0.875,0.125,0.0,1.0
Recommendations from the Working Group on Neuroimaging,0.5,0.5,0.0,1.0
Reply to: The Effectiveness of Prophylactic Use of HFNC and NIPPV on Reintubation: Concerning the Heterogeneity of ABI Patients,0.3333333333333333,0.6666666666666666,0.0,1.0
The ICU Bundle Board: A Novel Real-Time Data Visualization Tool to Improve Maintenance Care for Invasive Catheters.,0.45454545454545453,0.5454545454545454,0.0,1.0
The Impact of Asthma and Metabolic Syndrome in COVID-19: An Analysis of the Virus COVID-19 Registry,1.0,0.0,1.0,0.0
"The burden of firearm injuries on the hospital system, 2000â€“2020",0.5,0.5,0.0,1.0
The relationship between norepinephrine equivalent dose of vasopressors within 24 hours from the onset of septic shock and in-hospital mortality rate,0.6666666666666666,0.3333333333333333,1.0,0.0
"Uncovering and mitigating bias in large, automated MRI analyses of brain development",0.5,0.5,0.0,1.0
Unsupervised Machine Learning Unveil Easily Identifiable Subphenotypes of COVID-19 With Differing Disease Trajectories,0.75,0.25,0.0,1.0
Unsupervised machine learning identifies symptoms of indigestion as a predictor of acute decompensation and adverse cardiac events in patients with heart failure presenting to ‚Ä¶,0.2,0.8,1.0,0.0
Using Age as a Prognostic Factor for Short-term Survival Improves Life Support Allocation Under Crisis Standards of Care,1.0,0.0,0.0,1.0
Utilization of mechanical power and associations with clinical outcomes in brain injured patients: a secondary analysis of the extubation strategies in neuro-intensive care ‚Ä¶,0.5714285714285714,0.42857142857142855,0.0,1.0
Ventilation Strategies in Simulated Obstructive Lung Disease,1.0,0.0,0.0,1.0
White Blood Cell Population Data Improves Identification of Sepsis in Hospitalized Adults: A Retrospective Cohort Study,1.0,0.0,0.0,1.0
Wide QRS Complexes Following Ablation for Reentrant Tachycardia,1.0,0.0,1.0,0.0
Youth Team Sports Participation Associates With Reduced Dimensional Psychopathology Through Interaction With Biological Risk Factors,0.5,0.5,0.0,1.0
patient perception of fall risk in the acute care setting,0.6,0.4,0.0,1.0
