Publication Title,Author_female,Author_male,Fork_female,Fork_male
Hurricane Irma–‘No’Clinical Impact,0.6,0.4,1.0,0.0
IP123. Gender Differences in Carotid Artery Restenosis Rates Following Surgical Intervention,0.5,0.5,0.0,1.0
Improving caregivers’ perceptions regarding patient goals of care/end-of-life issues for the multidisciplinary critical care team,0.5,0.5,0.0,1.0
Incidence and Predictors of Delaying Seeking Emergent Medical Care Among Patients With Suspected Acute Coronary Syndrome,0.25,0.75,1.0,0.0
Irma-No Clinical Impact,1.0,0.0,1.0,0.0
JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,0.2,0.8,1.0,0.0
Mean diffusivity of basal ganglia and thalamus specifically associated with motivational states among mood states,0.5333333333333333,0.4666666666666667,0.0,1.0
Measuring Fellows' Willingness to Challenge Authority Using an Objective Structured Clinical Examination,0.6666666666666666,0.3333333333333333,1.0,0.0
Modeling of lung function recovery in neuralgic amyotrophy with diaphragm impairment,0.0,1.0,0.0,1.0
"Neuromuscular weakness in chronic obstructive pulmonary disease: chest wall, diaphragm, and peripheral muscle contributions",0.0,1.0,0.0,1.0
On the need for standard definitions and education to optimize patient-ventilator interactions,0.5,0.5,0.5,0.5
Physiological effects of early incremental mobilization of a patient with acute intracerebral and intraventricular hemorrhage requiring dual external ventricular drainage,1.0,0.0,0.0,1.0
Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,0.1,0.9,1.0,0.0
Plasmapheresis for refractory pruritus due to drug-induced cholestasis,0.25,0.75,0.0,1.0
Positive Impact of Tele-ICU Monitoring on Hospital Mortality and Cost Among Patients in Progressive Care With Cardiovascular Disease: Experience From a Large Healthcare System,0.3333333333333333,0.6666666666666666,1.0,0.0
Power-efficient real-time approach to non-wear time detection for smartwatches,0.5,0.5,0.0,1.0
Predictors of Emergency Medical Personnel’s Decision to Transmit or Not to Transmit the Prehospital 12-Lead ECG of Patients With Suspected Acute Myocardial Infarction,0.0,1.0,1.0,0.0
Presentation#: V10-01: Teletriage: Application of a Tele-ICU Infrastructure to Enhance Patient Care Experience in the Emergency Department,1.0,0.0,1.0,0.0
Pressure injuries in critical care: a survey of critical care nurses,0.0,1.0,0.0,1.0
Refractory Hypoxia in a Mechanically Ventilated Patient,0.75,0.25,1.0,0.0
Retrospective review of postoperative glycemic control in patients after distal pancreatectomy,0.0,1.0,0.0,1.0
Revisiting ultrasound-guided subclavian/axillary vein cannulations: importance of pleural avoidance with rib trajectory,0.3333333333333333,0.6666666666666666,0.0,1.0
Septic Pulmonary Emboli-A Cause For Recurrent Bilateral Pneumothorax,0.25,0.75,0.0,1.0
Serial daily organ failure assessment beyond ICU day 5 does not independently add precision to ICU risk-of-death prediction,0.5,0.5,1.0,0.0
Similar ECG Features in 2 Different Diagnoses,1.0,0.0,1.0,0.0
Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,1.0,0.0,1.0,0.0
Single-stage plasma-based correlated energy spread compensation for ultrahigh 6D brightness electron beams,0.9230769230769231,0.07692307692307693,1.0,0.0
Sleep in amyotrophic lateral sclerosis,0.0,1.0,0.0,1.0
Spatial indices of repolarization correlate with non-ST elevation myocardial ischemia in patients with chest pain,0.2857142857142857,0.7142857142857143,1.0,0.0
The Prevalence of Secondary Repolarization Abnormalities Confounding the Electrocardiographic Diagnosis of Acute Myocardial Ischemia in Patients Presenting With Chest Pain,0.4,0.6,1.0,0.0
The VEGF gene polymorphism impacts brain volume and arterial blood volume,0.5789473684210527,0.42105263157894735,0.0,1.0
The anterior midcingulate cortex as a neural node underlying hostility in young adults,0.5625,0.4375,0.0,1.0
Time of Day and Day of Week Variations in Chest Pain Encounters at the Prehospital Setting,0.0,1.0,1.0,0.0
Trauma patients warrant upper and lower extremity venous duplex ultrasound surveillance,0.6666666666666666,0.3333333333333333,0.0,1.0
"Traumatic brain injury: integrated approaches to improve prevention, clinical care, and research",0.4956521739130435,0.5043478260869565,0.0,1.0
Ultrahigh 6D-brightness electron beams for the light sources of the next generation,0.5,0.5,1.0,0.0
Variation in monitoring and treatment policies for intracranial hypertension in traumatic brain injury: a survey in 66 neurotrauma centers participating in the CENTER-TBI study,0.42857142857142855,0.5714285714285714,0.0,1.0
Z cells activated by zinc finger-like protein and uses thereof in cancer treatment,0.25,0.75,1.0,0.0
