Publication Title,Author_2017_female,Author_2017_male,Author_2023_female,Author_2023_male,Fork_2017_female,Fork_2017_male,Fork_2023_female,Fork_2023_male
Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,0.333333333,0.666666667,,,1,0,,
Hemophagocytic Lymphohistiocytosis: An Under Recognized But Fatal Disease,0.5,0.5,,,0,1,,
Horizon 2020 EuPRAXIA design study,0.993006993,0.006993007,,,1,0,,
Hurricane Irma‚Äì‚ÄòNo‚ÄôClinical Impact,0.6,0.4,,,1,0,,
IP123. Gender Differences in Carotid Artery Restenosis Rates Following Surgical Intervention,0.5,0.5,,,0,1,,
Improving caregivers‚Äô perceptions regarding patient goals of care/end-of-life issues for the multidisciplinary critical care team,0.5,0.5,,,0,1,,
Incidence and Predictors of Delaying Seeking Emergent Medical Care Among Patients With Suspected Acute Coronary Syndrome,0.25,0.75,,,1,0,,
Irma-No Clinical Impact,1,0,,,1,0,,
JACoW: First Measurements of Trojan Horse Injection in a Plasma Wakefield Accelerator,0.2,0.8,,,1,0,,
Mean diffusivity of basal ganglia and thalamus specifically associated with motivational states among mood states,0.533333333,0.466666667,,,0,1,,
Measuring Fellows' Willingness to Challenge Authority Using an Objective Structured Clinical Examination,0.666666667,0.333333333,,,1,0,,
Modeling of lung function recovery in neuralgic amyotrophy with diaphragm impairment,0,1,,,0,1,,
"Neuromuscular weakness in chronic obstructive pulmonary disease: chest wall, diaphragm, and peripheral muscle contributions",0,1,,,0,1,,
On the need for standard definitions and education to optimize patient-ventilator interactions,0.5,0.5,,,0.5,0.5,,
Physiological effects of early incremental mobilization of a patient with acute intracerebral and intraventricular hemorrhage requiring dual external ventricular drainage,1,0,,,0,1,,
Plasma-optical spatiotemporal diagnostics and alignment for electron and laser beams,0.1,0.9,,,1,0,,
Plasmapheresis for refractory pruritus due to drug-induced cholestasis,0.25,0.75,,,0,1,,
Positive Impact of Tele-ICU Monitoring on Hospital Mortality and Cost Among Patients in Progressive Care With Cardiovascular Disease: Experience From a Large Healthcare System,0.333333333,0.666666667,,,1,0,,
Power-efficient real-time approach to non-wear time detection for smartwatches,0.5,0.5,,,0,1,,
Predictors of Emergency Medical Personnel‚Äôs Decision to Transmit or Not to Transmit the Prehospital 12-Lead ECG of Patients With Suspected Acute Myocardial Infarction,0,1,,,1,0,,
Presentation#: V10-01: Teletriage: Application of a Tele-ICU Infrastructure to Enhance Patient Care Experience in the Emergency Department,1,0,,,1,0,,
Pressure injuries in critical care: a survey of critical care nurses,0,1,,,0,1,,
Refractory Hypoxia in a Mechanically Ventilated Patient,0.75,0.25,,,1,0,,
Retrospective review of postoperative glycemic control in patients after distal pancreatectomy,0,1,,,0,1,,
Revisiting ultrasound-guided subclavian/axillary vein cannulations: importance of pleural avoidance with rib trajectory,0.333333333,0.666666667,,,0,1,,
Septic Pulmonary Emboli-A Cause For Recurrent Bilateral Pneumothorax,0.25,0.75,,,0,1,,
Serial daily organ failure assessment beyond ICU day 5 does not independently add precision to ICU risk-of-death prediction,0.5,0.5,,,1,0,,
Similar ECG Features in 2 Different Diagnoses,1,0,,,1,0,,
Simulation results for PLATO: a prototype hybrid X-ray photon counting detector with a low energy threshold for fusion plasma diagnostics,1,0,,,1,0,,
Single-stage plasma-based correlated energy spread compensation for ultrahigh 6D brightness electron beams,0.923076923,0.076923077,,,1,0,,
Sleep in amyotrophic lateral sclerosis,0,1,,,0,1,,
Spatial indices of repolarization correlate with non-ST elevation myocardial ischemia in patients with chest pain,0.285714286,0.714285714,,,1,0,,
The Prevalence of Secondary Repolarization Abnormalities Confounding the Electrocardiographic Diagnosis of Acute Myocardial Ischemia in Patients Presenting With Chest Pain,0.4,0.6,,,1,0,,
The VEGF gene polymorphism impacts brain volume and arterial blood volume,0.578947368,0.421052632,,,0,1,,
The anterior midcingulate cortex as a neural node underlying hostility in young adults,0.5625,0.4375,,,0,1,,
Time of Day and Day of Week Variations in Chest Pain Encounters at the Prehospital Setting,0,1,,,1,0,,
Trauma patients warrant upper and lower extremity venous duplex ultrasound surveillance,0.666666667,0.333333333,,,0,1,,
"Traumatic brain injury: integrated approaches to improve prevention, clinical care, and research",0.495652174,0.504347826,,,0,1,,
Ultrahigh 6D-brightness electron beams for the light sources of the next generation,0.5,0.5,,,1,0,,
Variation in monitoring and treatment policies for intracranial hypertension in traumatic brain injury: a survey in 66 neurotrauma centers participating in the CENTER-TBI study,0.428571429,0.571428571,,,0,1,,
Z cells activated by zinc finger-like protein and uses thereof in cancer treatment,0.25,0.75,,,1,0,,
1130: MORTALITY AND CRITICAL DETERIORATION IN HOSPITALIZED CHILDREN,,,0.4,0.6,,,0,1
1133: UTILITY OF LONGITUDINAL TRENDS FOR PREDICTING DETERIORATION IN HOSPITALIZED CHILDREN,,,0.666666667,0.333333333,,,0,1
1179: NOVEL ECHOCARDIOGRAPHIC PHENOTYPES FOR ASSESSMENT OF SYSTOLIC FUNCTION IN PATIENTS WITH SEPSIS,,,0.5,0.5,,,1,0
1186: IMPACT OF ECHOCARDIOGRAPHY ON IN-HOSPITAL MORTALITY IN ADULT SEPSIS AND SEPTIC SHOCK,,,1,0,,,1,0
1206: BETA-LACTAM DOSING IN PATIENTS WITH SEPSIS AND AKI: A MULTICENTER OBSERVATIONAL STUDY,,,0.363636364,0.636363636,,,1,0
1255: INTERHOSPITAL VARIATION IN THE REINITIATION OF VASOPRESSOR THERAPIES,,,0.666666667,0.333333333,,,0,1
202: RACIAL DIFFERENCES IN COMMERCIAL MONITORING SOFTWARE DETECTION OF ATRIAL FIBRILLATION,,,0.5,0.5,,,1,0
42: VANCOMYCIN AND PIPERACILLIN-TAZOBACTAM OR CEFEPIME AND SEPSIS-ASSOCIATED AKI TRAJECTORY,,,0.333333333,0.666666667,,,1,0
504: PERICARDIAL TAMPONADE AND OBSTRUCTIVE SHOCK: COMPLICATION OF TENECTEPLASE FOR ACUTE ISCHEMIC STROKE,,,0.666666667,0.333333333,,,0,1
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,,,0.470588235,0.529411765,,,1,0
895: PROTOCOLIZED CARE FOR ACUTE RESPIRATORY DISTRESS SYNDROME: BEFORE AND DURING THE PANDEMIC,,,0.363636364,0.636363636,,,0,1
904: OUTCOMES OF COMPLICATED PARAPNEUMONIC EFFUSIONS TREATED WITH INTRAPLEURAL TISSUE PLASMINOGEN,,,0.166666667,0.833333333,,,0,1
957: THE ASSOCIATION OF EARLY ANTIBIOTIC USE WITH PROLONGED MECHANICAL VENTILATION IN SEVERE COVID-19,,,0.5,0.5,,,0,1
A Comparison Between Sensitivity Analysis of Oxygenation Severity and Acute Respiratory Distress Syndrome (ARDS) of a Machine Learning Algorithm to Predict Hypoxic Respiratory ‚Ä¶,,,1,0,,,1,0
A Framework for Developing a Multidisciplinary Approach to Prone Positioning in Acute Respiratory Distress Syndrome,,,0.285714286,0.714285714,,,0,1
A Real-Time Deep Learning Approach for Inferring Intracranial Pressure from Routinely Measured Extracranial Waveforms in the Intensive Care Unit,,,0.375,0.625,,,0,1
A focus on subtle signs and motor behavior to unveil awareness in unresponsive brain-impaired patients: the importance of being clinical,,,0.6,0.4,,,0,1
A multi-modal array of interpretable features to evaluate language and speech patterns in different neurological disorders,,,0.25,0.75,,,0,1
Abnormal thrombosis and neutrophil activation increase hospital-acquired sacral pressure injuries and morbidity in COVID-19 patients,,,0.454545455,0.545454545,,,0,1
Adjunctive Vasopressors in Patients with Septic Shock: Protocol for a Systematic Review and Meta-Analysis,,,1,0,,,1,0
An annotated ventricular tachycardia (VT) alarm database: Toward a uniform standard for optimizing automated VT identification in hospitalized patients,,,0.571428571,0.428571429,,,1,0
"Assessment of Symptom, Disability, and Financial Trajectories in Patients Hospitalized for COVID-19 at 6 Months",,,0.337837838,0.662162162,,,0.666666667,0.333333333
Assistive Multimodal Wearable for Open Air Digit Recognition Using Machine Learning,,,0.333333333,0.666666667,,,0,1
Association of Noninvasive Respiratory Support with Extubation Outcomes in Brain-injured Patients Receiving Mechanical Ventilation: A Secondary Analysis of the ENIO Prospective ‚Ä¶,,,0.166666667,0.833333333,,,0,1
Attosecond-Angstrom free-electron-laser towards the cold beam limit,,,1,0,,,1,0
Author reply: DoC: a pathophysiological continuum with high variabiity?,,,0,1,,,0,1
Author reply: Too less experiments for an ALE-meta analysis?,,,0,1,,,0,1
Automated Matching of Patients to Clinical Trials: A Patient-Centric Natural Language Processing Approach for Pediatric Leukemia,,,0.166666667,0.833333333,,,0,1
COMPASS-CAT versus Khorana risk assessment model for predicting venous thromboembolic events in patients with non-small cell lung cancer on active treatment with chemotherapy ‚Ä¶,,,0.454545455,0.545454545,,,0,1
Cardiogenic shock complicating sepsis and septic shock: A national inpatient sample analysis.,,,1,0,,,1,0
Cardiovascular Adverse Events after COVID-19 Vaccination,,,0.5,0.5,,,0,1
Caring for two in the ICU: Pharmacotherapy in the critically ill pregnant patient,,,0.571428571,0.428571429,,,1,0
Caring for two in the ICU: pharmacologic management of pregnancy‚Äêrelated complications,,,0.5,0.5,,,1,0
Central lung gene expression associates with myofibroblast features in idiopathic pulmonary fibrosis,,,0.2,0.8,,,0,1
Clinical Context From the Medical Record Improves Artificial Intelligence Models for Sepsis Prediction,,,1,0,,,1,0
Clinical Outcomes After Multi-Disciplinary Evaluation for Lung Volume Reduction Surgery for Patients With Chronic Obstructive Pulmonary Disease,,,1,0,,,0,1
Clot-in-transit: A ticking time bomb in the heart with serious consequences,,,0.5,0.5,,,0,1
Cognitive Motor Dissociation: Gap Analysis and Future Directions,,,0.3,0.7,,,0,1
Comparative effectiveness of decompressive craniectomy versus craniotomy for traumatic acute subdural hematoma (CENTER-TBI): an observational cohort study,,,0.447368421,0.552631579,,,0,1
Comparison of Expert Recommended Ventilation Strategies in Simulated Obstructive Lung Disease,,,1,0,,,0,1
Computational modelling in disorders of consciousness: closing the gap towards personalised models for restoring consciousness,,,0.25,0.75,,,0,1
Contribution of clinical course to outcome after traumatic brain injury: mining patient trajectories from European intensive care unit data,,,0.75,0.25,,,0,1
Correlation between Tissue Doppler-derived left ventricular systolic velocity (mitral S‚Äô) and left ventricle ejection fraction (LVEF) in sepsis and septic shock: A ‚Ä¶,,,0.4,0.6,,,1,0
Correlation between tissue Doppler-derived left ventricular systolic velocity (S‚Äô) and left ventricle ejection fraction in sepsis and septic shock: a retrospective cohort study,,,0.4,0.6,,,1,0
Critical Bias in Critical Care Devices,,,0.666666667,0.333333333,,,1,0
Decreased Incidence of Hospital-Acquired Infections After Implementation of Real-Time Visualization of Nursing Observations,,,1,0,,,0,1
Descriptive Comparison of Two Models of Tele-Critical Care Delivery in a Large Multi-Hospital Health Care System,,,0.4,0.6,,,1,0
Determinants of Professional Fulfillment and Burnout Among Intensivists: A National Survey by the Society of Critical Care Anesthesiologists in 2022,,,0.5,0.5,,,0,1
Development of a core outcome set for ventilation trials in neurocritical care patients with acute brain injury: protocol for a Delphi consensus study of international stakeholders,,,0.285714286,0.714285714,,,0,1
Digital cells radiation hardness study of TPSCo 65 nm CIS technology by designing a ring oscillator,,,1,0,,,1,0
Discharge Disposition and Loss of Independence Among Survivors of COVID-19 Admitted to Intensive Care: Results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,,,1,0,,,1,0
Discharge disposition and loss of independence among survivors of COVID-19 admitted to intensive care: results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,,,0.4,0.6,,,1,0
Early Extracorporeal Membranous Oxygenation (ECMO) Referral Leads to Less ECMO Use,,,1,0,,,0,1
Early serial echocardiographic and ultrasonographic findings in critically ill patients with COVID-19,,,0.504854369,0.495145631,,,1,0
Echocardiographic Profile of Cirrhotic Patients with Sepsis and Septic Shock: A Propensity Score Matched Case-Control Study,,,0.25,0.75,,,1,0
Echocardiographic profiles and hemodynamic response after vasopressin initiation in septic shock: A cross-sectional study,,,0.6,0.4,,,1,0
Emergency Nurses‚Äô Well-Being in Magnet Hospitals and Recommendations for Improvements in Work Environments: A Multicenter Cross-Sectional Observational Study,,,0.984615385,0.015384615,,,1,0
"Enrichment of Mortality Events in Patients With Substance Misuse for Critical Care Research Utilizing Local, State, and National Data Sources",,,1,0,,,0,1
Esophageal Pressure Measurement: A Primer,,,0,1,,,0,1
Establishment and Evaluation of a Protocol of Coud√© Catheter Placement by Nurses for Urinary Catheterization in Adult Males.,,,1,0,,,1,0
Facilitating the Next Paradigm Shift in Critical Care Through Artificial Intelligence,,,0,1,,,1,0
Fairness in the prediction of acute postoperative pain using machine learning models,,,0.4,0.6,,,0,1
First case of rapidly fatal mpox from secondary (household) transmission in a kidney transplant recipient,,,0.5,0.5,,,0,1
Forecasting imminent atrial fibrillation in long-term electrocardiogram recordings,,,0.2,0.8,,,1,0
Genetic patterning for child psychopathology is distinct from that for adults and implicates fetal cerebellar development,,,0.4,0.6,,,0,1
HIRA: heart rate interval based rapid alert score to characterize autonomic dysfunction among patients with sepsis-related acute respiratory failure (ARF),,,0.333333333,0.666666667,,,1,0
Heart Rate Variability (HRV) Based Interpretable Machine Learning Algorithm for Prediction of All-cause Acute Respiratory Failure (ARF) Among ICU Patients,,,1,0,,,1,0
Hyperacute Prediction of Targeted Temperature Management Outcome After Cardiac Arrest,,,0.333333333,0.666666667,,,0,1
Improving ICU Risk Predictive Models Through Automation Designed for Resiliency Against Documentation Bias,,,0.5,0.5,,,1,0
Incidence and Outcomes of Acute Respiratory Distress Syndrome in Brain-Injured Patients Receiving Invasive Ventilation: A Secondary Analysis of the ENIO Study,,,0.333333333,0.666666667,,,0,1
Incorporation of Serial 12-Lead Electrocardiogram With Machine Learning to Augment the Out-of-Hospital Diagnosis of Non-ST Elevation Acute Coronary Syndrome,,,0,1,,,1,0
Individualized Thresholds of Hypoxemia and Hyperoxemia and their Effect on Outcome in Acute Brain Injured Patients: A Secondary Analysis of the ENIO Study,,,0.285714286,0.714285714,,,0,1
Integrating multimodal information in machine learning for classifying acute myocardial infarction,,,0.25,0.75,,,1,0
"Intravenous aviptadil and remdesivir for treatment of COVID-19-associated hypoxaemic respiratory failure in the USA (TESICO): a randomised, placebo-controlled trial",,,0.475609756,0.524390244,,,0.5,0.5
Is left ventricular systolic dysfunction associated with increased mortality among patients with sepsis and septic shock?,,,0.25,0.75,,,1,0
Longer Travel Distance to Subspecialty Clinic Associates With Lower Lung Function in Pulmonary Sarcoidosis,,,1,0,,,0,1
Lung Ultrasonographic Signs in Pulmonary Disease‚ÄìA Video Review,,,0.5,0.5,,,1,0
Machine Learning for the ECG Diagnosis and Risk Stratification of Occlusion Myocardial Infarction at First Medical Contact,,,0.294117647,0.705882353,,,1,0
Machine learning for ECG diagnosis and risk stratification of occlusion myocardial infarction,,,0.333333333,0.666666667,,,1,0
Mechanical Ventilation in patients with traumatic brain injury: Is it so Different?,,,0.5,0.5,,,0,1
"Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings, Part 1",,,0.333333333,0.666666667,,,1,0
Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings: part 2,,,0.363636364,0.636363636,,,1,0
Mining the contribution of intensive care clinical course to outcome after traumatic brain injury,,,0.8,0.2,,,0,1
Mining the contribution of intensive care clinical course to outcome after traumatic brain injury.,,,0.75,0.25,,,0,1
Mixed-Integer Projections for Automated Data Correction of EMRs Improve Predictions of Sepsis among Hospitalized Patients,,,0.2,0.8,,,1,0
Mortality of in-hospital cardiac arrest among patients with and without preceding sepsis: A national inpatient sample analysis,,,0.75,0.25,,,1,0
Multilingual evaluation of interpretable biomarkers to represent language and speech patterns in Parkinson's disease,,,0.285714286,0.714285714,,,0,1
Nationwide clinical practice patterns of anesthesiology critical care physicians: A survey to members of the Society of Critical Care Anesthesiologists,,,0.3,0.7,,,0,1
Noninvasive positive pressure in acute exacerbations of chronic obstructive pulmonary disease,,,0.333333333,0.666666667,,,0,1
Optimal Design of Clinical Trials Involving Persons with Disorders of Consciousness,,,0.333333333,0.666666667,,,0,1
Outcomes After Early Hypotension in Sepsis: A Retrospective Cohort Study,,,1,0,,,0,1
Outcomes after cardiac arrest in Medical Intensive Care Unit: A propensity score matching analysis of COVID-19 MICU vs non COVID-19 MICU cardiac arrest,,,0,1,,,0,1
Overt and occult hypoxemia in patients hospitalized with COVID-19,,,0.666666667,0.333333333,,,1,0
PO-02-021 DIRECTION OF REPOLARIZATION IN BASELINE ECG IS PREDICTIVE OF RESPONSE TO CARDIAC RESYNCHRONIZATION THERAPY,,,0.5,0.5,,,1,0
Peripheral administration of norepinephrine: a prospective observational study,,,0.5,0.5,,,0.5,0.5
"Physician and nurse well-being and preferred interventions to address burnout in hospital practice: factors associated with turnover, outcomes, and patient safety",,,0.739130435,0.260869565,,,1,0
Physiologic Markers of Disease Severity in ARDS,,,0,1,,,0,1
Plasma photocathodes,,,1,0,,,1,0
Pleural Infection and Gastric Distension: Finding the Connection With Sonographic Inspection,,,0.5,0.5,,,1,0
Predicting Intensive Care Delirium with Machine Learning: Model Development and External Validation,,,0.666666667,0.333333333,,,0,1
Predicting anti-cancer treatment-related symptoms in patients with head and neck cancer using a machine learning approach: A scoping review,,,1,0,,,1,0
Prevalence and Prognosis of Sepsis-Induced Cardiomyopathy: A Systematic Review and Meta-Analysis,,,0.571428571,0.428571429,,,1,0
Progress in hybrid plasma wakefield acceleration,,,0.266666667,0.733333333,,,1,0
"Prospective, multicenter study of antimicrobial-coated, noncrosslinked, acellular porcine dermal matrix (XenMatrix‚Ñ¢ AB Surgical Graft) for hernia repair in all centers for ‚Ä¶",,,0.875,0.125,,,0,1
Recommendations from the Working Group on Neuroimaging,,,0.5,0.5,,,0,1
Reply to: The Effectiveness of Prophylactic Use of HFNC and NIPPV on Reintubation: Concerning the Heterogeneity of ABI Patients,,,0.333333333,0.666666667,,,0,1
The ICU Bundle Board: A Novel Real-Time Data Visualization Tool to Improve Maintenance Care for Invasive Catheters.,,,0.454545455,0.545454545,,,0,1
The Impact of Asthma and Metabolic Syndrome in COVID-19: An Analysis of the Virus COVID-19 Registry,,,1,0,,,1,0
"The burden of firearm injuries on the hospital system, 2000â€“2020",,,0.5,0.5,,,0,1
The relationship between norepinephrine equivalent dose of vasopressors within 24 hours from the onset of septic shock and in-hospital mortality rate,,,0.666666667,0.333333333,,,1,0
"Uncovering and mitigating bias in large, automated MRI analyses of brain development",,,0.5,0.5,,,0,1
Unsupervised Machine Learning Unveil Easily Identifiable Subphenotypes of COVID-19 With Differing Disease Trajectories,,,0.75,0.25,,,0,1
Unsupervised machine learning identifies symptoms of indigestion as a predictor of acute decompensation and adverse cardiac events in patients with heart failure presenting to ‚Ä¶,,,0.2,0.8,,,1,0
Using Age as a Prognostic Factor for Short-term Survival Improves Life Support Allocation Under Crisis Standards of Care,,,1,0,,,0,1
Utilization of mechanical power and associations with clinical outcomes in brain injured patients: a secondary analysis of the extubation strategies in neuro-intensive care ‚Ä¶,,,0.571428571,0.428571429,,,0,1
Ventilation Strategies in Simulated Obstructive Lung Disease,,,1,0,,,0,1
White Blood Cell Population Data Improves Identification of Sepsis in Hospitalized Adults: A Retrospective Cohort Study,,,1,0,,,0,1
Wide QRS Complexes Following Ablation for Reentrant Tachycardia,,,1,0,,,1,0
Youth Team Sports Participation Associates With Reduced Dimensional Psychopathology Through Interaction With Biological Risk Factors,,,0.5,0.5,,,0,1
patient perception of fall risk in the acute care setting,,,0.6,0.4,,,0,1
