Fork Name,Publication Title,High Income Co-authors 2017,Low Income Co-authors 2017,Total Co-authors 2017,High Income Co-authors 2023,Low Income Co-authors 2023,Total Co-authors 2023
"Brandon Michael Henry, MD",Evidence-Based Approach to the Treatment of Cubital Tunnel Syndrome,3,0,3,,,
"Brandon Michael Henry, MD",Evidence-Based Assessment Of The Anatomy Of The Bronchial Arteries,6,0,6,,,
"Brandon Michael Henry, MD",Factors influencing health-related quality-oflife in Polish colorectal cancer patients without liver metastases,6,0,6,,,
"Brandon Michael Henry, MD",IMPACT OF MINIMALLY INVASIVE DECOMPRESSION SURGERY ON THE QUALITY OF LIFE OF PATIENTS WITH LUMBAR SPINAL STENOSIS-A 2 YEAR FOLLOW-UP STUDY.,4,0,4,,,
"Brandon Michael Henry, MD",Impact of the COVID-19 pandemic on the volume of laboratory testing,,,,3,0,3
"Brandon Michael Henry, MD","Infusion reactions to adenoâ€associated virus (AAV)-based gene therapy: Mechanisms, diagnostics, treatment and review of the literature",,,,1,0,1
"Brandon Michael Henry, MD",Injury to the Infrapatellar Branch of the Saphenous Nerve during Tendon Graft Harvesting for Knee Ligament Reconstruction: An Ultrasound Simulation Study,3,0,3,,,
"Brandon Michael Henry, MD",Injury to the infrapatellar branch of the saphenous nerve during tendon graft harvesting for knee ligament reconstruction: An ultrasound simulation study,3,0,3,,,
"Brandon Michael Henry, MD",Large prospective validation and cultural adaptation of the Polish version of the Swiss Spinal Stenosis Questionnaire for patients with lumbar spinal stenosis,4,0,4,,,
"Brandon Michael Henry, MD",Lateral and posterolateral foraminal variations of the atlas: A meta-analysis,6,0,6,,,
"Brandon Michael Henry, MD",Longitudinal analysis of electrolyte prolife in intensive care COVID-19 patients,,,,3,0,3
"Brandon Michael Henry, MD",Mitigation of SARS-CoV-2 by Using Transition Metal Nanozeolites and Quaternary Ammonium Compounds as Antiviral Agents in Suspensions and Soft Fabric Materials,,,,4,0,4
"Brandon Michael Henry, MD",Neonatal pinealectomy in ratsâ€”a simple micro-suction technique,5,0,5,,,
"Brandon Michael Henry, MD",Origin and prevalence of the accessory phrenic nerve: A metaâ€analysis and clinical appraisal,1,0,1,,,
"Brandon Michael Henry, MD","Origin, branching, and communications of the intercostobrachial nerve: a meta-analysis with implications for mastectomy and axillary lymph node dissection in breast cancer",1,0,1,,,
"Brandon Michael Henry, MD",Polish translation of the Anatomical Quality Assurance (AQUA) Checklist: new guidelines for reporting in original anatomical studies,3,0,3,,,
"Brandon Michael Henry, MD",Pooled analysis of efficacy of the fourth mRNA-based COVID-19 vaccine dose in eliciting anti-SARS-CoV-2 serum antibody response in the general immunocompetent population,,,,3,0,3
"Brandon Michael Henry, MD",Positivization time of a COVID-19 rapid antigen self-test predicts SARS-CoV-2 viral load: a proof of concept,,,,6,0,6
"Brandon Michael Henry, MD","Prevalence of foramen arcuale and its clinical significance: A meta-analysis of 55,985 subjects: PS095",2,0,2,,,
"Brandon Michael Henry, MD","Prevalence of foramen arcuale and its clinical significance: a meta-analysis of 55,985 subjects",1,0,1,,,
"Brandon Michael Henry, MD",Real-world assessment of the clinical performance of COVID-VIRO ALL IN rapid SARS-CoV-2 antigen test,,,,3,0,3
"Brandon Michael Henry, MD",Reliability of a single-nostril nasopharyngeal swab for diagnosing SARS-CoV-2 infection,,,,3,0,3
"Brandon Michael Henry, MD","Retrospective analysis of early COVID-19 vaccine efficacy in older individuals receiving primary cycle, first booster and second booster",,,,2,0,2
"Brandon Michael Henry, MD",Risk of iatrogenic injury to the infrapatellar branch of the saphenous nerve during hamstring tendon harvesting: A metaâ€analysis,3,0,3,,,
"Brandon Michael Henry, MD",Safety monitoring of drug-induced muscle injury and rhabdomyolysis: a biomarker-guided approach for clinical practice and drug trials,,,,4,0,4
"Brandon Michael Henry, MD",Serum vitamin D concentration is lower in patients with tinnitus: a meta-analysis of observational studies,,,,3,0,3
"Brandon Michael Henry, MD",Superficial fibular nerve variations of fascial piercing: A metaâ€analysis and clinical consideration,4,0,4,,,
"Brandon Michael Henry, MD",The Achilles tendon and the retrocalcaneal bursa AN ANAT OMICAL AND RADIOLOGICAL STUDY,6,0,6,,,
"Brandon Michael Henry, MD",The Achilles tendon and the retrocalcaneal bursa: An anatomical and radiological study,6,0,6,,,
"Brandon Michael Henry, MD",The Anastomoses of the recurrent laryngeal nerve in the larynx: a meta-analysis and systematic review,4,0,4,,,
"Brandon Michael Henry, MD",The Non-Recurrent Laryngeal Nerve: a meta-analysis and clinical considerations,1,0,1,,,
"Brandon Michael Henry, MD",The Reliability of the Tracheoesophageal Groove and the Ligament of Berry as Landmarks for Identifying the Recurrent Laryngeal Nerve: A Cadaveric Study and Meta-Analysis,1,0,1,,,
"Brandon Michael Henry, MD",The Vascular Microarchitecture of the Human Fetal Pancreas: A Corrosion Casting and Scanning Electron Microscopy Study,7,0,7,,,
"Brandon Michael Henry, MD",The current state of intermittent intraoperative neural monitoring for prevention of recurrent laryngeal nerve injury during thyroidectomy: a PRISMA-compliant systematic review â€¦,1,0,1,,,
"Brandon Michael Henry, MD","The prevalence and morphometry of an accessory spleen: A meta-analysis and systematic review of 22,487 patients",4,0,4,,,
"Brandon Michael Henry, MD","The pterygoalar bar: A meta-analysis of its prevalence, morphology and morphometry",6,0,6,,,
"Brandon Michael Henry, MD",The twisted structure of the Achilles tendon unraveled: A detailed quantitative and qualitative anatomical investigation,3,0,3,,,
"Brandon Michael Henry, MD",The variable origin of the lateral circumflex femoral artery: a meta-analysis and proposal for a new classification system,6,0,6,,,
"Brandon Michael Henry, MD",Topographic anatomy of the submental artery and its clinical implications for reconstructive surgery,,,,12,0,12
"Brandon Michael Henry, MD",Validation of the intervertebral disc histological degeneration score in cervical intervertebral discs and their end plates,3,0,3,,,
"Brandon Michael Henry, MD",Variable relationship of the recurrent laryngeal nerve to the inferior thyroid artery: A metaâ€analysis and surgical implications,1,0,1,,,
"Brandon Michael Henry, MD",Variations in the arterial blood supply to the penis and the accessory pudendal artery: a meta-analysis and review of implications in radical prostatectomy,5,0,5,,,
"Brandon Michael Henry, MD",Variations in the origin of the deep femoral artery: A metaâ€analysis,3,0,3,,,
"Brandon Michael Henry, MD",Zuckerkandlâ€™s tubercle and its relationship to the recurrent laryngeal nerve: A cadaveric dissection and meta-analysis,1,0,1,,,
"Brandon Michael Henry, MD",Â¿ Son los anticuerpos IgG e IgM contra los antÃ­genos S y N del SARS-CoV-2 siempre predictores de infecciÃ³n previa por SARS-CoV-2?,,,,3,0,3
Caleb Miles,A population-based analysis of predictors of penile surgical intervention among inpatients with acute priapism,,,,4,0,4
Caleb Miles,Differences in management of pregnant women with obstructing infected ureteral stones: A population‚Äêbased analysis,,,,6,0,6
Caleb Miles,Longitudinal Changes in the Operative Experience for Junior Urology Residents,,,,1,0,1
Caleb Miles,On partial identification of the natural indirect effect,3,0,3,,,
Christopher W Mastropietro,Alterations in Cerebral Ventricle Size Over Time in Children with Congenital Heart Disease,1,0,1,,,
Christopher W Mastropietro,Contemporary multicenter outcomes for truncus arteriosus with interrupted aortic arch,,,,1,0,1
Christopher W Mastropietro,"Executive summary: international clinical practice guidelines for pediatric ventilator liberation, a Pediatric Acute Lung Injury and Sepsis Investigators (PALISI) Network document",,,,5,0,5
Christopher W Mastropietro,Operational definitions related to pediatric ventilator liberation,,,,5,0,5
Christopher W Mastropietro,Procedural outcomes of pulmonary atresia with intact ventricular septum in neonates: a multicenter study,,,,6,0,6
Christopher W Mastropietro,Staged vs complete repair in tetralogy of Fallot with pulmonary atresia,,,,6,0,6
Christopher W Mastropietro,Variation in extubation failure rates after neonatal congenital heart surgery across Pediatric Cardiac Critical Care Consortium hospitals,1,0,1,,,
Christopher W Mastropietro,Wake Up Call: Pediatric Cardiac Intensive Care Registered Nurse Well-Being,,,,3,0,3
Jean-Sebastien Rachoin,How often do medical students change career preferences over the course of medical school?,,,,3,0,3
Jean-Sebastien Rachoin,Impact of Food Environments on Obesity Rates: A State-Level Analysis,,,,3,0,3
Jean-Sebastien Rachoin,Things We Do For No Reason‚Ñ¢: Intensifying antihypertensive medications for hospitalized patients at the time of discharge,,,,1,0,1
Jean-Sebastien Rachoin,Timing of invasive mechanical ventilation and death in critically ill adults with COVID-19: A multicenter cohort study,,,,7,0,7
Joanna Cohen,An analysis of purchase price of legal and illicit cigarettes in urban retail environments in 14 low‚Äêand middle‚Äêincome countries,12,0,12,,,
Joanna Cohen,Assessing ENDS Device Type Accurately in Surveys,,,,4,0,4
Joanna Cohen,Assessing continuous quality improvement in public health: Adapting lessons from healthcare,4,0,4,,,
Joanna Cohen,Australia tightens its prescription-only regulation of e-cigarettes,,,,3,0,3
Joanna Cohen,Blog fog? Using rapid response to advance science and promote debate,6,0,6,,,
Joanna Cohen,Changes in nicotine dependence among smokers using electronic cigarettes to reduce cigarette smoking in a randomized controlled trial,,,,4,0,4
Joanna Cohen,Cigarette stick as valuable communicative real estate: a content analysis of cigarettes from 14 low-income and middle-income countries,10,0,10,,,
Joanna Cohen,"Colours, capsules and concept flavour names on cigarette packs appeal to youth in Mexico",,,,3,0,3
Joanna Cohen,Confirmed disability improvement in patients treated with fingolimod in phase 3 and extension trial programmes for up to 96 months,1,0,1,,,
Joanna Cohen,Creating a global tobacco control treaty surveillance platform,,,,3,0,3
Joanna Cohen,"Device and liquid characteristics used with sweet, menthol/mint, and tobacco ENDS liquid flavors: The population-based VAPER study",,,,12,0,12
Joanna Cohen,E-cigarettes as a source of toxic and potentially carcinogenic metals,1,0,1,,,
Joanna Cohen,Early mortality in infants born with severe neonatal-operated congenital heart defects and low or very low birthweight: Systematic review and meta-analysis,,,,8,0,8
Joanna Cohen,Effectiveness and safety of long-term fingolimod treatment in relapsing-remitting multiple sclerosis patients with highly active disease,0,1,1,,,
Joanna Cohen,"Effectiveness of ENDS, NRT and medication for smoking cessation among cigarette-only users: a longitudinal analysis of PATH Study wave 3 (2015‚Äì2016) and 4 (2016‚Äì2017), adult data",,,,2,0,2
Joanna Cohen,Effects of cigarette price and packaging on hypothetical quit-smoking behaviour: a discrete choice experiment among Vietnamese adults who smoke,,,,6,0,6
Joanna Cohen,Electronic Nicotine Delivery System flavor use over time by age group in the US: A longitudinal analysis,,,,4,0,4
Joanna Cohen,Electronic cigarette use behaviors and motivations among smokers and non-smokers,6,0,6,,,
Joanna Cohen,"Eugenol, menthol and other flavour chemicals in kreteks and ‚Äòwhite‚Äôcigarettes purchased in Indonesia",,,,1,0,1
Joanna Cohen,Exposure to metals among Electronic Nicotine Delivery System (ENDS) users in the PATH study: A longitudinal analysis,,,,5,0,5
Joanna Cohen,Factors that influence attitude and enforcement of the smoke-free law in Turkey: a survey of hospitality venue owners and employees,9,0,9,,,
Joanna Cohen,Global approaches to regulating electronic cigarettes,1,0,1,,,
Joanna Cohen,How Media Stories in Low-and Middle-Income Countries (LMICs) Discussed the US Food and Drug Administration‚Äôs (FDA‚Äôs) Modified Risk Tobacco Product (MRTP) Order for IQOS,,,,3,0,3
Joanna Cohen,Improvement in Cognitive Processing Speed With Ofatumumab in Patients With Relapsing Multiple Sclerosis,,,,10,0,10
Joanna Cohen,Innovations that harm: tobacco product and packaging in low-income and middle-income countries,,,,3,0,3
Joanna Cohen,Menthol and Other Flavor Chemicals in Cigarettes from Vietnam and the Philippines,,,,6,0,6
Joanna Cohen,Monday-Enhanced CEASE Program for Underserved Ethnic Minorities: a Mixed-Methods Study,,,,10,0,10
Joanna Cohen,"New policy of people-first language to replace ‚Äòsmoker‚Äô,‚Äòvaper‚Äô‚Äòtobacco user‚Äôand other behaviour-based labels",,,,3,0,3
Joanna Cohen,Perceived effectiveness of four different cigarette health warning label themes among a sample of urban smokers and non-smokers in China,,,,3,0,3
Joanna Cohen,Pictorial Cigarette Health Warning Labels in China: Effective Design Feature Combinations for Future Policy,9,0,9,,,
Joanna Cohen,Point-of-sale tobacco advertising and display bans: policy evaluation study in five Russian cities,1,0,1,,,
Joanna Cohen,Risk of autoimmune diseases and human papilloma virus (HPV) vaccines: Six years of case-referent surveillance,70,0,70,,,
Joanna Cohen,Shared perceptions of flavored cigarette pack design among young adults who smoke in Mexico and the Philippines,,,,3,0,3
Joanna Cohen,Social disparities in children's exposure to secondhand smoke in privately owned vehicles,8,0,8,,,
Joanna Cohen,Straw cigarette branding: misleading descriptors and a new Marlboro man,,,,6,0,6
Joanna Cohen,The Vaping and Patterns of e-Cigarette Use Research Study: Protocol for a Web-Based Cohort Study,,,,9,0,9
Joanna Cohen,The association between viewing cigarette health warning labels and intention to quit smoking among Chinese adult smokers: support for including health outcome content and ‚Ä¶,,,,3,0,3
Joanna Cohen,The association of e-cigarette use with exposure to nickel and chromium: A preliminary study of non-invasive biomarkers,8,0,8,,,
Joanna Cohen,The problematic use of cultural symbols on Chinese cigarette packs,,,,4,0,4
Joanna Cohen,They‚Äôre heating up: Internet search query trends reveal significant,3,0,3,,,
Joanna Cohen,Tobacco companies‚Äô creation of additional communication space: a content analysis of cigarette pack inserts and onserts,,,,4,0,4
Joanna Cohen,"Tobacco industry response to menthol cigarette bans in Alberta and Nova Scotia, Canada",6,0,6,,,
Joanna Cohen,Weekly enrollment and usage patterns in an Internet smoking cessation intervention,3,0,3,,,
Lawrence S. Weisberg,PARADOXICAL INTERSTITIAL NEPHRITIS IN A PATIENT WITH CROHN DISEASE,1,0,1,,,
Matthew L Friedman,Neurological and Psychological Sequelae Associated With Multisystem Inflammatory Syndrome in Children,,,,6,0,6
Matthew L Friedman,Neuromonitoring During ECMO Support in Children,,,,1,0,1
Misun Hwang,Apparent Diffusion Coefficient (ADC) of the vitreous humor and Susceptibility Weighted Imaging (SWI) of the retina in abused children with retinal hemorrhages,5,0,5,,,
Misun Hwang,"Brain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease (vol 2016, 9571464, 2016)",3,0,3,,,
Misun Hwang,Brain Targeted Xenon Protects Cerebral Vasculature after Traumatic Brain Injury,,,,1,0,1
Misun Hwang,Corrigendum to ‚ÄúBrain Activation and Psychomotor Speed in Middle-Aged Patients with Type 1 Diabetes: Relationships with Hyperglycemia and Brain Small Vessel Disease‚Äù,3,0,3,,,
Misun Hwang,Neonatal neurosonography practices: a survey of active Society for Pediatric Radiology members,,,,4,0,4
Misun Hwang,Novel contrast‚Äêenhanced ultrasound evaluation in neonatal hypoxic ischemic injury: clinical application and future directions,5,0,5,,,
Misun Hwang,Transtemporal brain contrast-enhanced ultrasound in children: Preliminary experience in patients without neurological disorders,,,,1,0,1
Peter Yim,D19 NOVEL THERAPEUTIC TARGETS IN OBSTRUCTIVE LUNG DISEASE: A Novel Gabaa Receptor? 5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes â€¦,1,0,1,,,
"Rahul Kashyap, MBBS, MBA",104: A GLOBAL SURVEY OF IMPACT OF VIOLENCE AGAINST HEALTHCARE WORKERS IN CRITICAL CARE SETTINGS: VISHWAS,,,,3,3,6
"Rahul Kashyap, MBBS, MBA",1126: LEVERAGING THE SCCM DISCOVERY VIRUS COVID-19 REGISTRY TO EVALUATE DRUG REPURPOSING RESEARCH DATASET,,,,1,0,1
"Rahul Kashyap, MBBS, MBA",194: CHRONIC ANTICOAGULANT USE PRIOR TO COVID-19 DIAGNOSIS: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,,6,1,7
"Rahul Kashyap, MBBS, MBA",251: ASSOCIATION OF EARLY HEPARIN USE AMONG PATIENTS WITH COVID-19 AND SEPSIS AND HOSPITAL OUTCOMES,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",318: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH HOSPITAL AND ICU ADMISSION IN COVID-19,,,,4,1,5
"Rahul Kashyap, MBBS, MBA",319: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH INTUBATION AND SEVERITY OF COVID-19,,,,4,1,5
"Rahul Kashyap, MBBS, MBA",356: THERAPEUTIC USE OF BARICITINIB IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,,3,1,4
"Rahul Kashyap, MBBS, MBA",37th International Symposium on Intensive Care and Emergency Medicine (part 3 of 3),63,1,64,,,
"Rahul Kashyap, MBBS, MBA",383: MYOCARDITIS DUE TO LEGIONELLA: A CASE REPORT,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",472: HOSPITAL-ACQUIRED ACHROMOBACTER DENITRIFICANS BACTEREMIA: CASE REPORT AND REVIEW OF LITERATURE,,,,2,2,4
"Rahul Kashyap, MBBS, MBA",4: VALIDATION OF HEPARIN-INDUCED THROMBOCYTOPENIA RISK STRATIFICATION TOOLS IN POST-SURGICAL PATIENTS,,,,1,0,1
"Rahul Kashyap, MBBS, MBA",799: PREHOSPITAL USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,,4,1,5
"Rahul Kashyap, MBBS, MBA",7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,,,,14,0,14
"Rahul Kashyap, MBBS, MBA",890: THERAPEUTIC USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,,4,1,5
"Rahul Kashyap, MBBS, MBA",A Comprehensive Literature Review of Fournier‚Äôs Gangrene in Females,,,,1,1,2
"Rahul Kashyap, MBBS, MBA",A Path to Real-World Evidence in Critical Care Using Open-Source Data Harmonization Tools,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",A historical delve into neurotrauma-focused critical care,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",A22 HEALTH SERVICES HIGHLIGHTS IN CRITICAL CARE: Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,1,0,1,,,
"Rahul Kashyap, MBBS, MBA",Admission serum sodium and osmolarity are not associated with the occurrence or outcomes of acute respiratory distress syndrome in critically ill,,,,10,0,10
"Rahul Kashyap, MBBS, MBA",Association between obstructive sleep apnea and acute kidney injury in critically ill patients: a propensity-matched study,6,0,6,,,
"Rahul Kashyap, MBBS, MBA",Association between timing of intubation and outcome in critically ill patients: a secondary analysis of the ICON audit,2,0,2,,,
"Rahul Kashyap, MBBS, MBA",Association of Non-Alcoholic Fatty Liver Disease and Metabolic-Associated Fatty Liver Disease with COVID-19-Related Intensive Care Unit Outcomes: A Systematic Review and Meta ‚Ä¶,,,,2,1,3
"Rahul Kashyap, MBBS, MBA",Association of Procalcitonin Level With Superimposed Infection and Early Antibiotic Discontinuation in COVID-19 Patients,,,,3,0,3
"Rahul Kashyap, MBBS, MBA","Association of Vitamin C, Thiamine, and Hydrocortisone Infusion With Long-term Cognitive, Psychological, and Functional Outcomes in Sepsis Survivors: A Secondary Analysis of ‚Ä¶",,,,92,1,93
"Rahul Kashyap, MBBS, MBA",Association of non-alcoholic fatty liver and metabolic-associated fatty liver with COVID-19 outcomes: A systematic review and meta-analysis,,,,2,1,3
"Rahul Kashyap, MBBS, MBA",Association of plasma volume status with outcomes in hospitalized Covid-19 ARDS patients: A retrospective multicenter observational study,,,,8,1,9
"Rahul Kashyap, MBBS, MBA",Biomarker-Concordant Steroid Administration in Severe Coronavirus Disease-2019,,,,4,0,4
"Rahul Kashyap, MBBS, MBA",CARDIAC COMPLICATIONS AMONG LONG COVID PATIENTS: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",COVID-19 related disruptions to medical education and perceived clinical capability of new resident physicians: a nationwide study of over 1200 first-year residents,,,,4,0,4
"Rahul Kashyap, MBBS, MBA",Certain Rounding Model With Software Prompting Improves Patient Rounds And Process Of Care In Icu,2,0,2,,,
"Rahul Kashyap, MBBS, MBA",Coronavirus Disease 2019 in Pediatric Oncology Patients: A Matched‚ÄìCohort Analysis of the SCCM Discovery Viral Infection and Respiratory Illness Universal Study COVID-19 Registry,,,,8,0,8
"Rahul Kashyap, MBBS, MBA",Cryptogenic Organizing Pneumonia and Idiopathic Eosinophilic Pneumonia: A Case Report of Clinically Identical Entities,,,,1,0,1
"Rahul Kashyap, MBBS, MBA",Derivation and validation of the automated search algorithms to identify cognitive impairment and dementia in electronic health records,3,0,3,,,
"Rahul Kashyap, MBBS, MBA",Design and Œ±-testing of an electronic rounding tool (CERTAINp) to improve process of care in pediatric intensive care unit,4,0,4,,,
"Rahul Kashyap, MBBS, MBA",Development and Validation of an Acute Respiratory Distress Syndrome Prediction Model in Coronavirus Disease 2019: Updated Lung Injury Prediction Score,,,,14,1,15
"Rahul Kashyap, MBBS, MBA",Digital Delivery of a Global Critical Care Education Program,,,,3,0,3
"Rahul Kashyap, MBBS, MBA",Discharge disposition and loss of independence among survivors of COVID-19 admitted to intensive care: results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,,,,15,0,15
"Rahul Kashyap, MBBS, MBA",EFFECT OF BREATHING EXERCISES ON BLOOD PRESSURE AND HEART RATE: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,,2,2,4
"Rahul Kashyap, MBBS, MBA",Effect of Dapagliflozin in Patients with Heart Failure: A Systematic Review and Meta-Analysis,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",Effect of daily use of electronic checklist on physical rehabilitation consultations in critically ill patients,3,0,3,,,
"Rahul Kashyap, MBBS, MBA",Efficacy of Cefoperazone Sulbactam in Patients with Acinetobacter Infections: A Systematic Review of the Literature,,,,1,0,1
"Rahul Kashyap, MBBS, MBA",Evaluating muscle mass by using markers of kidney function: development of the sarcopenia index,2,0,2,,,
"Rahul Kashyap, MBBS, MBA",Evaluation of the discrimination and calibration of predictive scores of mortality in ECMO for patients with COVID‚Äê19,,,,1,0,1
"Rahul Kashyap, MBBS, MBA",FULL TITLE,4,1,5,,,
"Rahul Kashyap, MBBS, MBA","Follow-Up Incidence, Outcome, and Trend of ARDS in Critically Ill Patients Over 6 Years: A Population-Based Study",5,0,5,,,
"Rahul Kashyap, MBBS, MBA",Gender inclusive care toolkit for hospitals,,,,4,0,4
"Rahul Kashyap, MBBS, MBA",Growth in social media and live-tweeting at major critical care conferences: Twitter analysis of the past 4 years,5,0,5,,,
"Rahul Kashyap, MBBS, MBA",Guiding Principles for the Conduct of Violence Study of Healthcare Workers and System (VISHWAS),,,,1,1,2
"Rahul Kashyap, MBBS, MBA",Impact of Telemedicine Monitoring of Community Intensive Care Units on Inter-Hospital Transfers,7,0,7,,,
"Rahul Kashyap, MBBS, MBA","Implementation of a Virtual Interprofessional ICU Learning Collaborative: Successes, Challenges, and Initial Reactions From the Structured Team-Based Optimal Patient-Centered ‚Ä¶",,,,8,0,8
"Rahul Kashyap, MBBS, MBA",Liraglutide-Induced Pancreatitis: A Case Report and Literature Review,,,,1,0,1
"Rahul Kashyap, MBBS, MBA",Making Sense of Monkeypox: A Comparison of Other Poxviruses to the Monkeypox,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",Plant-based diet and its effect on coronary artery disease: A narrative review,,,,2,0,2
"Rahul Kashyap, MBBS, MBA",Prognostic impact of isolated right ventricular dysfunction in sepsis and septic shock: an 8-year historical cohort study,4,0,4,,,
"Rahul Kashyap, MBBS, MBA",Prospects for Direct Detection of Black Hole Formation in Neutron Star Mergers with Next-Generation Gravitational-Wave Detectors,,,,4,0,4
"Rahul Kashyap, MBBS, MBA",Radiology Gets Chatty: The ChatGPT Saga Unfolds,,,,4,0,4
"Rahul Kashyap, MBBS, MBA",Re-Intubation Scale Calculation (RISC): Predicting Extubation Failure in Critically Ill patients,2,0,2,,,
"Rahul Kashyap, MBBS, MBA",Respiratory and other systemic complications of coronavirus disease 2019 in adults: A narrative review,,,,5,0,5
"Rahul Kashyap, MBBS, MBA",Role of admission Troponin‚ÄêT and serial Troponin‚ÄêT testing in predicting outcomes in severe sepsis and septic shock,3,0,3,,,
"Rahul Kashyap, MBBS, MBA","Saddle vs nonsaddle pulmonary embolism: clinical presentation, hemodynamics, management, and outcomes",3,0,3,,,
"Rahul Kashyap, MBBS, MBA",Septic shock definitions and associated outcomes in blood culture positive critically ill patients,,,,3,0,3
