Publication Title,Author_2017_female,Author_2017_male,Author_2023_female,Author_2023_male,Fork_2017_female,Fork_2017_male,Fork_2023_female,Fork_2023_male
D19 NOVEL THERAPEUTIC TARGETS IN OBSTRUCTIVE LUNG DISEASE: A Novel Gabaa Receptor? 5 Subunit-Selective Allosteric Modulator That Does Not Cross The Blood-Brain Barrier Relaxes â€¦,1,0,,,0,1,,
Derivation and validation of the automated search algorithms to identify cognitive impairment and dementia in electronic health records,0,1,,,0,1,,
Design and Œ±-testing of an electronic rounding tool (CERTAINp) to improve process of care in pediatric intensive care unit,0.571428571,0.428571429,,,0,1,,
Development of the anatomical quality assessment (AQUA) tool for the quality assessment of anatomical studies included in metaâ€analyses and systematic reviews,0.333333333,0.666666667,,,0,1,,
E-cigarettes as a source of toxic and potentially carcinogenic metals,0.333333333,0.666666667,,,1,0,,
Effect of daily use of electronic checklist on physical rehabilitation consultations in critically ill patients,0.25,0.75,,,0,1,,
Effectiveness and safety of long-term fingolimod treatment in relapsing-remitting multiple sclerosis patients with highly active disease,1,0,,,1,0,,
Electronic cigarette use behaviors and motivations among smokers and non-smokers,0.5,0.5,,,1,0,,
Enhancing the genome editing toolbox: genome wide CRISPR arrayed libraries,0.363636364,0.636363636,,,0,1,,
Evaluating muscle mass by using markers of kidney function: development of the sarcopenia index,0.5,0.5,,,0,1,,
Evidence-Based Approach to the Treatment of Cubital Tunnel Syndrome,0,1,,,0,1,,
Evidence-Based Assessment Of The Anatomy Of The Bronchial Arteries,1,0,,,0,1,,
Extubation failure after neonatal cardiac surgery: a multicenter analysis,0.25,0.75,,,0,1,,
FULL TITLE,0.333333333,0.666666667,,,0,1,,
Factors influencing health-related quality-oflife in Polish colorectal cancer patients without liver metastases,0.666666667,0.333333333,,,0,1,,
Factors that influence attitude and enforcement of the smoke-free law in Turkey: a survey of hospitality venue owners and employees,0.555555556,0.444444444,,,1,0,,
"Follow-Up Incidence, Outcome, and Trend of ARDS in Critically Ill Patients Over 6 Years: A Population-Based Study",0.166666667,0.833333333,,,0,1,,
Genomic analysis and clinical management of adolescent cutaneous melanoma,0.4,0.6,,,0,1,,
Global approaches to regulating electronic cigarettes,1,0,,,1,0,,
Growth in social media and live-tweeting at major critical care conferences: Twitter analysis of the past 4 years,0.5,0.5,,,0,1,,
Hypoplastic left heart syndrome: from comfort care to long-term survival,0,1,,,0,1,,
IMPACT OF MINIMALLY INVASIVE DECOMPRESSION SURGERY ON THE QUALITY OF LIFE OF PATIENTS WITH LUMBAR SPINAL STENOSIS-A 2 YEAR FOLLOW-UP STUDY.,0.555555556,0.444444444,,,0,1,,
Immunosuppression: The Global Picture,0,1,,,0,1,,
Impact of Telemedicine Monitoring of Community Intensive Care Units on Inter-Hospital Transfers,0,1,,,0,1,,
Importance of routine antihuman/leukocyte antibody monitoring: de novo donor specific antibodies are associated with rejection and allograft vasculopathy after heart ‚Ä¶,0,1,,,0,1,,
Improving our understanding of moderation and mediation in strategic management research,0,1,,,1,0,,
"Incidence, predictors, and prognostic values of periprocedural myocardial injury in patients undergoing transcatheter aortic valve implementation for aortic stenosis: a meta â€¦",1,0,,,0,1,,
Injury to the Infrapatellar Branch of the Saphenous Nerve during Tendon Graft Harvesting for Knee Ligament Reconstruction: An Ultrasound Simulation Study,0.333333333,0.666666667,,,0,1,,
Injury to the infrapatellar branch of the saphenous nerve during tendon graft harvesting for knee ligament reconstruction: An ultrasound simulation study,0.333333333,0.666666667,,,0,1,,
Large prospective validation and cultural adaptation of the Polish version of the Swiss Spinal Stenosis Questionnaire for patients with lumbar spinal stenosis,0.333333333,0.666666667,,,0,1,,
Lateral and posterolateral foraminal variations of the atlas: A meta-analysis,0.5,0.5,,,0,1,,
Liver Mesenchymal Stem Cells Inhibit T Cell Alloresponses,1,0,,,0,1,,
Liver transplantation: rejection and tolerance,0,1,,,0,1,,
Long-term effect of fingolimod on disability: 8-year disease outcomes by EDSS categories,1,0,,,1,0,,
Modelling Primary Sclerosing Cholangitis using Induced Pluripotent Stem Cell-Derived Cholangiocytes and 3-Dimensional Biliary Spheroids,0.714285714,0.285714286,,,0,1,,
Neonatal pinealectomy in ratsâ€”a simple micro-suction technique,0.5,0.5,,,0,1,,
New therapies for the treatment of BRAF/NRAS wild type melanoma,0.535714286,0.464285714,,,0,1,,
Not all cellular rejections are the same: Differences in early and late hepatic allograft rejection,1,0,,,0,1,,
Novel contrast‚Äêenhanced ultrasound evaluation in neonatal hypoxic ischemic injury: clinical application and future directions,0.666666667,0.333333333,,,0,1,,
On partial identification of the natural indirect effect,0.333333333,0.666666667,,,0,1,,
Organ recovery and transplant,0,1,,,0,1,,
Origin and prevalence of the accessory phrenic nerve: A metaâ€analysis and clinical appraisal,0.666666667,0.333333333,,,0,1,,
"Origin, branching, and communications of the intercostobrachial nerve: a meta-analysis with implications for mastectomy and axillary lymph node dissection in breast cancer",1,0,,,0,1,,
"P3272 Incidence, predictors, and prognostic values of periprocedural myocardial injury in patients undergoing transcatheter aortic valve implementation for aortic stenosis: a â€¦",1,0,,,0,1,,
PARADOXICAL INTERSTITIAL NEPHRITIS IN A PATIENT WITH CROHN DISEASE,0.333333333,0.666666667,,,1,0,,
Perceived addiction as a predictor of smoking cessation among occasional smokers,0.333333333,0.666666667,,,1,0,,
Phenotypic and functional assessment of t cell alloimmunity after liver transplantation,1,0,,,0,1,,
Photo-Relaxation: Light Mediated Airway Smooth Muscle Relaxation,0.5,0.5,,,0,1,,
Pictorial Cigarette Health Warning Labels in China: Effective Design Feature Combinations for Future Policy,0.75,0.25,,,1,0,,
Point-of-sale tobacco advertising and display bans: policy evaluation study in five Russian cities,0.5,0.5,,,1,0,,
Polish translation of the Anatomical Quality Assurance (AQUA) Checklist: new guidelines for reporting in original anatomical studies,0.25,0.75,,,0,1,,
"Prevalence of foramen arcuale and its clinical significance: A meta-analysis of 55,985 subjects: PS095",0.5,0.5,,,0,1,,
"Prevalence of foramen arcuale and its clinical significance: a meta-analysis of 55,985 subjects",0.5,0.5,,,0,1,,
Prognostic impact of isolated right ventricular dysfunction in sepsis and septic shock: an 8-year historical cohort study,0.4,0.6,,,0,1,,
Quantifying an adherence path-specific effect of antiretroviral therapy in the Nigeria PEPFAR program,0.666666667,0.333333333,,,0,1,,
"Rare variant, gene-based association study of hereditary melanoma using whole-exome sequencing",0.307692308,0.692307692,,,0,1,,
Re-Intubation Scale Calculation (RISC): Predicting Extubation Failure in Critically Ill patients,0,1,,,0,1,,
Revisiting olfactory receptors as putative drivers of cancer,0.2,0.8,,,0,1,,
Risk of autoimmune diseases and human papilloma virus (HPV) vaccines: Six years of case-referent surveillance,0.585185185,0.414814815,,,1,0,,
Risk of iatrogenic injury to the infrapatellar branch of the saphenous nerve during hamstring tendon harvesting: A metaâ€analysis,1,0,,,0,1,,
Role of admission Troponin‚ÄêT and serial Troponin‚ÄêT testing in predicting outcomes in severe sepsis and septic shock,0.5,0.5,,,0,1,,
"Saddle vs nonsaddle pulmonary embolism: clinical presentation, hemodynamics, management, and outcomes",0.333333333,0.666666667,,,0,1,,
Small systems of Duffing oscillators and the Fermi-Pasta-Ulam-Tsingou system An examination of the possible reasons for the unusual stability of localized nonlinear excitations ‚Ä¶,0,1,,,0,1,,
Social disparities in children's exposure to secondhand smoke in privately owned vehicles,0.5,0.5,,,1,0,,
Stress and well-being at work: A century of empirical trends reflecting theoretical and societal influences.,1,0,,,1,0,,
Structural imaging of mild traumatic brain injury may not be enough: overview of functional and metabolic imaging of mild traumatic brain injury,0,1,,,0,1,,
Superficial fibular nerve variations of fascial piercing: A metaâ€analysis and clinical consideration,1,0,,,0,1,,
Surgical treatment of hepatocellular carcinoma,0,1,,,0,1,,
The Achilles tendon and the retrocalcaneal bursa AN ANAT OMICAL AND RADIOLOGICAL STUDY,1,0,,,0,1,,
The Achilles tendon and the retrocalcaneal bursa: An anatomical and radiological study,1,0,,,0,1,,
The Anastomoses of the recurrent laryngeal nerve in the larynx: a meta-analysis and systematic review,0.75,0.25,,,0,1,,
The Fate of Exploding Carbon-Oxygen Chandrasekhar-Mass White Dwarfs: The Production of Stable Iron-Peak Elements in the Type Ia Supernova Remnant 3C 397,0,1,,,0,1,,
The Non-Recurrent Laryngeal Nerve: a meta-analysis and clinical considerations,0.666666667,0.333333333,,,0,1,,
The Reliability of the Tracheoesophageal Groove and the Ligament of Berry as Landmarks for Identifying the Recurrent Laryngeal Nerve: A Cadaveric Study and Meta-Analysis,0.666666667,0.333333333,,,0,1,,
The Vascular Microarchitecture of the Human Fetal Pancreas: A Corrosion Casting and Scanning Electron Microscopy Study,0.333333333,0.666666667,,,0,1,,
The association of e-cigarette use with exposure to nickel and chromium: A preliminary study of non-invasive biomarkers,0.714285714,0.285714286,,,1,0,,
The current state of intermittent intraoperative neural monitoring for prevention of recurrent laryngeal nerve injury during thyroidectomy: a PRISMA-compliant systematic review â€¦,0.333333333,0.666666667,,,0,1,,
The evidence-based surgical anatomy of the popliteal artery and the variations in its branching patterns,0.5,0.5,,,0,1,,
The filum terminale internum and externum: a comprehensive review,0.333333333,0.666666667,,,0,1,,
"The highly sensitized, high MELD, simultaneous liver‚Äêkidney or status 1A heart‚Äêliver transplant candidate",0,1,,,0,1,,
"The prevalence and morphometry of an accessory spleen: A meta-analysis and systematic review of 22,487 patients",0.5,0.5,,,0,1,,
"The pterygoalar bar: A meta-analysis of its prevalence, morphology and morphometry",0.25,0.75,,,0,1,,
The twisted structure of the Achilles tendon unraveled: A detailed quantitative and qualitative anatomical investigation,1,0,,,0,1,,
The variable origin of the lateral circumflex femoral artery: a meta-analysis and proposal for a new classification system,0.4,0.6,,,0,1,,
They‚Äôre heating up: Internet search query trends reveal significant,0.333333333,0.666666667,,,1,0,,
They‚Äôre heating up: Internet search query trends reveal significant public,0,1,,,1,0,,
They‚Äôre heating up: Internet search query trends reveal significant public interest in heat-not-burn tobacco products,0,1,,,1,0,,
Timing of intubation in acute respiratory failure associated with sepsis: a mixed methods study,0,1,,,0,1,,
"Tobacco industry response to menthol cigarette bans in Alberta and Nova Scotia, Canada",0.2,0.8,,,1,0,,
Tocilizumab in the treatment of twelve cases with aa amyloidosis secondary to familial mediterranean fever,0.4,0.6,,,0,1,,
Unique molecular changes in kidney allografts after simultaneous liver-kidney compared with solitary kidney transplantation,0,1,,,0,1,,
Validation of the intervertebral disc histological degeneration score in cervical intervertebral discs and their end plates,0.333333333,0.666666667,,,0,1,,
Variable relationship of the recurrent laryngeal nerve to the inferior thyroid artery: A metaâ€analysis and surgical implications,0.666666667,0.333333333,,,0,1,,
Variation in extubation failure rates after neonatal congenital heart surgery across Pediatric Cardiac Critical Care Consortium hospitals,0,1,,,0,1,,
Variations in the arterial blood supply to the penis and the accessory pudendal artery: a meta-analysis and review of implications in radical prostatectomy,0.5,0.5,,,0,1,,
Variations in the origin of the deep femoral artery: A metaâ€analysis,0.166666667,0.833333333,,,0,1,,
Weekly enrollment and usage patterns in an Internet smoking cessation intervention,0.333333333,0.666666667,,,1,0,,
Xylene Induced Facial Swelling: A Rare Case Report of Dental Negligence,0.25,0.75,,,0,1,,
Zuckerkandlâ€™s tubercle and its relationship to the recurrent laryngeal nerve: A cadaveric dissection and meta-analysis,0.666666667,0.333333333,,,0,1,,
104: A GLOBAL SURVEY OF IMPACT OF VIOLENCE AGAINST HEALTHCARE WORKERS IN CRITICAL CARE SETTINGS: VISHWAS,,,0.428571429,0.571428571,,,0,1
1103: MULTIDISCIPLINARY ICU RECOVERY CLINIC VISITS: QUALITATIVE ANALYSIS OF PATIENT-PROVIDER INTERACTIONS,,,1,0,,,1,0
1126: LEVERAGING THE SCCM DISCOVERY VIRUS COVID-19 REGISTRY TO EVALUATE DRUG REPURPOSING RESEARCH DATASET,,,0.555555556,0.444444444,,,0,1
121: POST-ICU CLINICS MAY REDUCE ICU STAFF BURNOUT: CRITICAL & ACUTE ILLNESS RECOVERY ORGANIZATION REPORT,,,1,0,,,1,0
194: CHRONIC ANTICOAGULANT USE PRIOR TO COVID-19 DIAGNOSIS: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,0.3,0.7,,,0,1
251: ASSOCIATION OF EARLY HEPARIN USE AMONG PATIENTS WITH COVID-19 AND SEPSIS AND HOSPITAL OUTCOMES,,,0.333333333,0.666666667,,,0,1
318: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH HOSPITAL AND ICU ADMISSION IN COVID-19,,,0.375,0.625,,,0,1
319: NONALCOHOLIC FATTY LIVER DISEASE ASSOCIATION WITH INTUBATION AND SEVERITY OF COVID-19,,,0.375,0.625,,,0,1
356: THERAPEUTIC USE OF BARICITINIB IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,0.375,0.625,,,0,1
383: MYOCARDITIS DUE TO LEGIONELLA: A CASE REPORT,,,0.5,0.5,,,0,1
472: HOSPITAL-ACQUIRED ACHROMOBACTER DENITRIFICANS BACTEREMIA: CASE REPORT AND REVIEW OF LITERATURE,,,0.5,0.5,,,0,1
4: VALIDATION OF HEPARIN-INDUCED THROMBOCYTOPENIA RISK STRATIFICATION TOOLS IN POST-SURGICAL PATIENTS,,,0.6,0.4,,,0,1
799: PREHOSPITAL USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,0.25,0.75,,,0,1
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,,,0.470588235,0.529411765,,,0,1
890: THERAPEUTIC USE OF INHALED CORTICOSTEROIDS IN COVID-19: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,0.25,0.75,,,0,1
A Comprehensive Literature Review of Fournier‚Äôs Gangrene in Females,,,0.4,0.6,,,0,1
A Path to Real-World Evidence in Critical Care Using Open-Source Data Harmonization Tools,,,0.375,0.625,,,0,1
A Simple Epidemiologic Model for Predicting Impaired Neutralization of New SARS-CoV-2 Variants,,,0.5,0.5,,,0,1
A Template for Translational Bioinformatics: Facilitating Multimodal Data Analyses in Preclinical Models of Neurological Injury,,,0.384615385,0.615384615,,,0,1
A Two-layer Modified Beer-Lambert Algorithm for Optical Monitoring of Critical Closing Pressure,,,1,0,,,0,1
A concise guide to transtemporal contrast-enhanced ultrasound in children,,,0,1,,,0,1
A historical delve into neurotrauma-focused critical care,,,0.428571429,0.571428571,,,0,1
A population-based analysis of predictors of penile surgical intervention among inpatients with acute priapism,,,0.333333333,0.666666667,,,0,1
Addressing standardized definitions of post-COVID and long-COVID,,,0.333333333,0.666666667,,,0,1
Admission serum sodium and osmolarity are not associated with the occurrence or outcomes of acute respiratory distress syndrome in critically ill,,,0.444444444,0.555555556,,,0,1
Advanced neuromonitoring modalities on the horizon: detection and management of acute brain injury in children,,,0.666666667,0.333333333,,,0,1
Age and sex variation of SARS-CoV-2 cycle threshold value during prevalence of Omicron BA. 5 sublineage,,,1,0,,,0,1
Airway Smooth Muscle Relaxation Via Opsin 3 Activation With Beta-carotene Metabolites,,,1,0,,,0,1
American Society of Transplant Surgeons recommendations on best practices in donation after circulatory death organ procurement,,,0.333333333,0.666666667,,,0,1
An overview of the most important preanalytical factors influencing the clinical performance of SARS-CoV-2 antigen rapid diagnostic tests (Ag-RDTs),,,0.5,0.5,,,0,1
Antithrombin III infusion improves anticoagulation in congenital diaphragmatic hernia patients on extracorporeal membrane oxygenation,,,0.333333333,0.666666667,,,0,1
Are anti-SARS-CoV-2 S/N IgG/IgM antibodies always predictive of previous SARS-CoV-2 infection?,,,1,0,,,0,1
Assessing ENDS Device Type Accurately in Surveys,,,0.5,0.5,,,1,0
Assessment of humoral and cellular immunity after bivalent BNT162b2 vaccination and potential association with reactogenicity,,,0.571428571,0.428571429,,,0,1
Association of Non-Alcoholic Fatty Liver Disease and Metabolic-Associated Fatty Liver Disease with COVID-19-Related Intensive Care Unit Outcomes: A Systematic Review and Meta ‚Ä¶,,,0.375,0.625,,,0,1
Association of Procalcitonin Level With Superimposed Infection and Early Antibiotic Discontinuation in COVID-19 Patients,,,1,0,,,0,1
"Association of Vitamin C, Thiamine, and Hydrocortisone Infusion With Long-term Cognitive, Psychological, and Functional Outcomes in Sepsis Survivors: A Secondary Analysis of ‚Ä¶",,,0.478991597,0.521008403,,,0,1
Association of non-alcoholic fatty liver and metabolic-associated fatty liver with COVID-19 outcomes: A systematic review and meta-analysis,,,0.375,0.625,,,0,1
Association of plasma volume status with outcomes in hospitalized Covid-19 ARDS patients: A retrospective multicenter observational study,,,0.272727273,0.727272727,,,0,1
Australia tightens its prescription-only regulation of e-cigarettes,,,0,1,,,1,0
Banff 2022 Liver Group Meeting Report: Monitoring Long Term Allograft Health,,,0.45,0.55,,,0,1
Biliary Tube Placement at the Time of Liver Transplantation Reduces Non-Therapeutic ERCP,,,0.333333333,0.666666667,,,0,1
Biomarker-Concordant Steroid Administration in Severe Coronavirus Disease-2019,,,0.2,0.8,,,0,1
Brain Targeted Xenon Protects Cerebral Vasculature after Traumatic Brain Injury,,,0.5,0.5,,,0,1
CARDIAC COMPLICATIONS AMONG LONG COVID PATIENTS: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,0.363636364,0.636363636,,,0,1
COVID-19 and its long-term sequelae: what do we know in 2023,,,0.5,0.5,,,0,1
COVID-19 and smoking: considerations after two years,,,0.5,0.5,,,0,1
COVID-19 related disruptions to medical education and perceived clinical capability of new resident physicians: a nationwide study of over 1200 first-year residents,,,0.333333333,0.666666667,,,0,1
Can cellular and humoral immunity predict response to BNT162b2 bivalent booster?,,,1,0,,,0,1
Cellular immunity against SARS-CoV-2 depends on the serological status,,,1,0,,,0,1
Changes in nicotine dependence among smokers using electronic cigarettes to reduce cigarette smoking in a randomized controlled trial,,,0.5,0.5,,,1,0
Characteristics of Phase IV clinical trials in oncology: an analysis using the ClinicalTrials. gov registry data,,,0.333333333,0.666666667,,,0,1
Clinical Chemistry and Laboratory Medicine celebrates 60 years â€“ narrative review devoted to the contribution of the journal to the diagnosis of SARS-CoV-2,,,0.25,0.75,,,0,1
Clinical assessment of SNIBE Maglumi SARS-CoV-2 antigen fully-automated chemiluminescent immunoassay,,,0.75,0.25,,,0,1
"Colours, capsules and concept flavour names on cigarette packs appeal to youth in Mexico",,,1,0,,,1,0
Conceptualizing Transitional Care After Critical Illness Using Stakeholder Perspectives: A Qualitative Content Analysis,,,0.5,0.5,,,1,0
Contemporary multicenter outcomes for truncus arteriosus with interrupted aortic arch,,,0.333333333,0.666666667,,,0,1
Coronavirus Disease 2019 in Pediatric Oncology Patients: A Matched‚ÄìCohort Analysis of the SCCM Discovery Viral Infection and Respiratory Illness Universal Study COVID-19 Registry,,,0.7,0.3,,,0,1
Correction: Advanced Neuromonitoring Modalities on the Horizon: Detection and Management of Acute Brain Injury in Children,,,0.666666667,0.333333333,,,0,1
Correlates and Predictors of COVID-19 Vaccine Hesitancy Among Persons Living With HIV in Trinidad and Tobago,,,1,0,,,1,0
Correlation between relative age-standardized mortality rates and COVID-19 mortality over time in Italy,,,1,0,,,0,1
Cost-effectiveness analysis of different COVID-19 screening strategies based on rapid or laboratory-based SARS-CoV-2 antigen testing,,,1,0,,,0,1
Creating a global tobacco control treaty surveillance platform,,,0.666666667,0.333333333,,,1,0
Cryptogenic Organizing Pneumonia and Idiopathic Eosinophilic Pneumonia: A Case Report of Clinically Identical Entities,,,0,1,,,0,1
Cytokines and immune cell phenotype in acute kidney injury associated with immune checkpoint inhibitors,,,0.25,0.75,,,0,1
Deciphering the role of monocyte and monocyte distribution width (MDW) in COVID-19: an updated systematic review and meta-analysis,,,0.5,0.5,,,0,1
Decision-Making and Ethical Considerations of Tracheostomy and Chronic Mechanical Ventilation in Children With Acute Neurological Injury,,,0,1,,,0,1
Development and Validation of an Acute Respiratory Distress Syndrome Prediction Model in Coronavirus Disease 2019: Updated Lung Injury Prediction Score,,,0.235294118,0.764705882,,,0,1
"Device and liquid characteristics used with sweet, menthol/mint, and tobacco ENDS liquid flavors: The population-based VAPER study",,,0.75,0.25,,,1,0
Diagnostic accuracy of Siemens SARS-CoV-2 Antigen (CoV2Ag) chemiluminescent immunoassay for diagnosing acute SARS-CoV-2 infection: a pooled analysis,,,0.5,0.5,,,0,1
"Did Philip Morris International use the e-cigarette, or vaping, product use associated lung injury (EVALI) outbreak to market IQOS heated tobacco?",,,0,1,,,1,0
Differences in management of pregnant women with obstructing infected ureteral stones: A population‚Äêbased analysis,,,0.2,0.8,,,0,1
Digital Delivery of a Global Critical Care Education Program,,,0.4,0.6,,,0,1
Discharge disposition and loss of independence among survivors of COVID-19 admitted to intensive care: results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,,,0.357142857,0.642857143,,,0,1
Discontinuity of marginal artery at splenic flexure and rectosigmoid junction: A systematic review and metaâ€analysis,,,0.5,0.5,,,0,1
Disruption of Laboratory Activities during the COVID-19 Pandemic: Results of an EFLM Task Force Preparation of Labs for Emergencies (TF-PLE) Survey,,,0.5,0.5,,,0,1
Driving decisions after critical illness: Qualitative analysis of patient-provider reviews during ICU recovery clinic assessments,,,0.75,0.25,,,1,0
EFFECT OF BREATHING EXERCISES ON BLOOD PRESSURE AND HEART RATE: A SYSTEMATIC REVIEW AND META-ANALYSIS,,,0.333333333,0.666666667,,,0,1
Early kinetics of cellular immunity in recipients of bivalent BNT162b2 vaccine: a proof-of-concept study,,,0.666666667,0.333333333,,,0,1
Early mortality in infants born with severe neonatal-operated congenital heart defects and low or very low birthweight: Systematic review and meta-analysis,,,1,0,,,1,0
Early-Onset Ventilator-Associated Pneumonia in Pediatric Severe Traumatic Brain Injury,,,0,1,,,0,1
Effect of Dapagliflozin in Patients with Heart Failure: A Systematic Review and Meta-Analysis,,,0.666666667,0.333333333,,,0,1
"Effectiveness of ENDS, NRT and medication for smoking cessation among cigarette-only users: a longitudinal analysis of PATH Study wave 3 (2015‚Äì2016) and 4 (2016‚Äì2017), adult data",,,0,1,,,1,0
Effects of Different Types of Recombinant SARS-CoV-2 Spike Protein on Circulating Monocytes Structure (preprint),,,0.571428571,0.428571429,,,0,1
Effects of Different Types of Recombinant SARS-CoV-2 Spike Protein on Circulating Monocytesâ€™ Structure,,,0.5,0.5,,,0,1
Effects of cigarette price and packaging on hypothetical quit-smoking behaviour: a discrete choice experiment among Vietnamese adults who smoke,,,0,1,,,1,0
Efficacy of Cefoperazone Sulbactam in Patients with Acinetobacter Infections: A Systematic Review of the Literature,,,0.4,0.6,,,0,1
Efficacy of WeChat-based online smoking cessation intervention (‚ÄòWeChat WeQuit‚Äô) in China: a randomised controlled trial,,,0.428571429,0.571428571,,,1,0
El cribado preoperatorio negativo mediante RT-PCR no garantiza la no infecciÃ³n por SARS-CoV-2,,,0.5,0.5,,,0,1
Electronic Nicotine Delivery System flavor use over time by age group in the US: A longitudinal analysis,,,0,1,,,1,0
Estimating the worldwide burden of health loss due to hearing loss,,,0.666666667,0.333333333,,,0,1
"Eugenol, menthol and other flavour chemicals in kreteks and ‚Äòwhite‚Äôcigarettes purchased in Indonesia",,,1,0,,,1,0
Evaluation of the Cerebrospinal Fluid Flow Dynamics with Microvascular Imaging Ultrasound in Infants,,,0.75,0.25,,,0,1
Evaluation of the discrimination and calibration of predictive scores of mortality in ECMO for patients with COVID‚Äê19,,,0.5,0.5,,,0,1
Examining the Correlates of HIV Testing for Venezuelan Migrants in Trinidad,,,1,0,,,1,0
Examining the needs of survivors of critical illness through the lens of palliative care: A qualitative study of survivor experiences,,,0.5,0.5,,,1,0
"Executive summary: international clinical practice guidelines for pediatric ventilator liberation, a Pediatric Acute Lung Injury and Sepsis Investigators (PALISI) Network document",,,0.545454545,0.454545455,,,0,1
Exposure to metals among Electronic Nicotine Delivery System (ENDS) users in the PATH study: A longitudinal analysis,,,0.333333333,0.666666667,,,1,0
Factors associated with the need for inotropic support following pulmonary artery banding surgery for CHD,,,0.5,0.5,,,0,1
Gender inclusive care toolkit for hospitals,,,0,1,,,0,1
Guiding Principles for the Conduct of Violence Study of Healthcare Workers and System (VISHWAS),,,0.909090909,0.090909091,,,0,1
HILPDA promotes NASH-driven HCC development by restraining intracellular fatty acid flux in hypoxia,,,0.555555556,0.444444444,,,0,1
