Publication Title,Total_Forks,Diversity_Score
Injury to the Infrapatellar Branch of the Saphenous Nerve during Tendon Graft Harvesting for Knee Ligament Reconstruction: An Ultrasound Simulation Study,1.0,0.0
Injury to the infrapatellar branch of the saphenous nerve during tendon graft harvesting for knee ligament reconstruction: An ultrasound simulation study,1.0,0.0
Large prospective validation and cultural adaptation of the Polish version of the Swiss Spinal Stenosis Questionnaire for patients with lumbar spinal stenosis,1.0,0.0
Lateral and posterolateral foraminal variations of the atlas: A meta-analysis,1.0,0.0
Liver Mesenchymal Stem Cells Inhibit T Cell Alloresponses,1.0,0.0
Liver transplantation: rejection and tolerance,1.0,0.0
Long-term effect of fingolimod on disability: 8-year disease outcomes by EDSS categories,1.0,0.0
Modelling Primary Sclerosing Cholangitis using Induced Pluripotent Stem Cell-Derived Cholangiocytes and 3-Dimensional Biliary Spheroids,1.0,0.0
Neonatal pinealectomy in ratsâ€”a simple micro-suction technique,1.0,0.0
New therapies for the treatment of BRAF/NRAS wild type melanoma,1.0,0.0
Not all cellular rejections are the same: Differences in early and late hepatic allograft rejection,1.0,0.0
Novel contrast‚Äêenhanced ultrasound evaluation in neonatal hypoxic ischemic injury: clinical application and future directions,1.0,0.0
On partial identification of the natural indirect effect,1.0,0.0
Organ recovery and transplant,1.0,0.0
Origin and prevalence of the accessory phrenic nerve: A metaâ€analysis and clinical appraisal,1.0,0.0
"Origin, branching, and communications of the intercostobrachial nerve: a meta-analysis with implications for mastectomy and axillary lymph node dissection in breast cancer",1.0,0.0
"P3272 Incidence, predictors, and prognostic values of periprocedural myocardial injury in patients undergoing transcatheter aortic valve implementation for aortic stenosis: a â€¦",1.0,0.0
PARADOXICAL INTERSTITIAL NEPHRITIS IN A PATIENT WITH CROHN DISEASE,1.0,0.0
Perceived addiction as a predictor of smoking cessation among occasional smokers,1.0,0.0
Phenotypic and functional assessment of t cell alloimmunity after liver transplantation,1.0,0.0
Photo-Relaxation: Light Mediated Airway Smooth Muscle Relaxation,1.0,0.0
Pictorial Cigarette Health Warning Labels in China: Effective Design Feature Combinations for Future Policy,1.0,0.0
Point-of-sale tobacco advertising and display bans: policy evaluation study in five Russian cities,1.0,0.0
Polish translation of the Anatomical Quality Assurance (AQUA) Checklist: new guidelines for reporting in original anatomical studies,1.0,0.0
"Prevalence of foramen arcuale and its clinical significance: A meta-analysis of 55,985 subjects: PS095",1.0,0.0
"Prevalence of foramen arcuale and its clinical significance: a meta-analysis of 55,985 subjects",1.0,0.0
Prognostic impact of isolated right ventricular dysfunction in sepsis and septic shock: an 8-year historical cohort study,1.0,0.0
Quantifying an adherence path-specific effect of antiretroviral therapy in the Nigeria PEPFAR program,1.0,0.0
"Rare variant, gene-based association study of hereditary melanoma using whole-exome sequencing",1.0,0.0
Re-Intubation Scale Calculation (RISC): Predicting Extubation Failure in Critically Ill patients,1.0,0.0
Revisiting olfactory receptors as putative drivers of cancer,1.0,0.0
Risk of autoimmune diseases and human papilloma virus (HPV) vaccines: Six years of case-referent surveillance,1.0,0.0
Risk of iatrogenic injury to the infrapatellar branch of the saphenous nerve during hamstring tendon harvesting: A metaâ€analysis,1.0,0.0
Role of admission Troponin‚ÄêT and serial Troponin‚ÄêT testing in predicting outcomes in severe sepsis and septic shock,1.0,0.0
"Saddle vs nonsaddle pulmonary embolism: clinical presentation, hemodynamics, management, and outcomes",1.0,0.0
Small systems of Duffing oscillators and the Fermi-Pasta-Ulam-Tsingou system An examination of the possible reasons for the unusual stability of localized nonlinear excitations ‚Ä¶,1.0,0.0
Social disparities in children's exposure to secondhand smoke in privately owned vehicles,1.0,0.0
Stress and well-being at work: A century of empirical trends reflecting theoretical and societal influences.,1.0,0.0
Structural imaging of mild traumatic brain injury may not be enough: overview of functional and metabolic imaging of mild traumatic brain injury,1.0,0.0
Superficial fibular nerve variations of fascial piercing: A metaâ€analysis and clinical consideration,1.0,0.0
Surgical treatment of hepatocellular carcinoma,1.0,0.0
The Achilles tendon and the retrocalcaneal bursa AN ANAT OMICAL AND RADIOLOGICAL STUDY,1.0,0.0
The Achilles tendon and the retrocalcaneal bursa: An anatomical and radiological study,1.0,0.0
The Anastomoses of the recurrent laryngeal nerve in the larynx: a meta-analysis and systematic review,1.0,0.0
The Fate of Exploding Carbon-Oxygen Chandrasekhar-Mass White Dwarfs: The Production of Stable Iron-Peak Elements in the Type Ia Supernova Remnant 3C 397,1.0,0.0
The Non-Recurrent Laryngeal Nerve: a meta-analysis and clinical considerations,1.0,0.0
The Reliability of the Tracheoesophageal Groove and the Ligament of Berry as Landmarks for Identifying the Recurrent Laryngeal Nerve: A Cadaveric Study and Meta-Analysis,1.0,0.0
The Vascular Microarchitecture of the Human Fetal Pancreas: A Corrosion Casting and Scanning Electron Microscopy Study,1.0,0.0
The association of e-cigarette use with exposure to nickel and chromium: A preliminary study of non-invasive biomarkers,1.0,0.0
The current state of intermittent intraoperative neural monitoring for prevention of recurrent laryngeal nerve injury during thyroidectomy: a PRISMA-compliant systematic review â€¦,1.0,0.0
The evidence-based surgical anatomy of the popliteal artery and the variations in its branching patterns,1.0,0.0
The filum terminale internum and externum: a comprehensive review,1.0,0.0
"The highly sensitized, high MELD, simultaneous liver‚Äêkidney or status 1A heart‚Äêliver transplant candidate",1.0,0.0
"The prevalence and morphometry of an accessory spleen: A meta-analysis and systematic review of 22,487 patients",1.0,0.0
"The pterygoalar bar: A meta-analysis of its prevalence, morphology and morphometry",1.0,0.0
The twisted structure of the Achilles tendon unraveled: A detailed quantitative and qualitative anatomical investigation,1.0,0.0
The variable origin of the lateral circumflex femoral artery: a meta-analysis and proposal for a new classification system,1.0,0.0
They‚Äôre heating up: Internet search query trends reveal significant,1.0,0.0
They‚Äôre heating up: Internet search query trends reveal significant public,1.0,0.0
They‚Äôre heating up: Internet search query trends reveal significant public interest in heat-not-burn tobacco products,1.0,0.0
Timing of intubation in acute respiratory failure associated with sepsis: a mixed methods study,1.0,0.0
"Tobacco industry response to menthol cigarette bans in Alberta and Nova Scotia, Canada",1.0,0.0
Tocilizumab in the treatment of twelve cases with aa amyloidosis secondary to familial mediterranean fever,1.0,0.0
Unique molecular changes in kidney allografts after simultaneous liver-kidney compared with solitary kidney transplantation,1.0,0.0
Validation of the intervertebral disc histological degeneration score in cervical intervertebral discs and their end plates,1.0,0.0
Variable relationship of the recurrent laryngeal nerve to the inferior thyroid artery: A metaâ€analysis and surgical implications,1.0,0.0
Variation in extubation failure rates after neonatal congenital heart surgery across Pediatric Cardiac Critical Care Consortium hospitals,1.0,0.0
Variations in the arterial blood supply to the penis and the accessory pudendal artery: a meta-analysis and review of implications in radical prostatectomy,1.0,0.0
Variations in the origin of the deep femoral artery: A metaâ€analysis,1.0,0.0
Weekly enrollment and usage patterns in an Internet smoking cessation intervention,1.0,0.0
Xylene Induced Facial Swelling: A Rare Case Report of Dental Negligence,1.0,0.0
Zuckerkandlâ€™s tubercle and its relationship to the recurrent laryngeal nerve: A cadaveric dissection and meta-analysis,1.0,0.0
