orcid,type,name,gender,latitude,longitude,affiliation,cr_highest_degree,organization,department,institution_name,institution_place,institution_department,orcid_cr_combined_department,google_scholar_affiliation,google_scholar_name,gs_parsed_highest_degree,
0000-0002-1717-1629,co_author,Rachel Sussman,male,43.0802745,-89.4309587,University of Wisconsin-Madison,professor,,,,,,,"Assistant Professor, Penn State University, The Eberly Campus",Rachel Sussman-Wander Kaplan or Rachel S.W. Kaplan or Rachel Kaplan,professor,
0000-0002-8512-2538,co_author,Rachel Truscon,male,,,University of Michigan School of Public Health,,,,bioRxiv,,,,,,,
0009-0003-2446-570X,co_author,Raed Dweik,male,41.5045,-81.59707,Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,"MBBS, MD",,,,,,,"Professor and Chairman, Respiratory Institute (Pulmonary, Critical Care, Infectious Dis., Allergy",Raed Dweik,professor,
0009-0002-0847-9995,co_author,Raed Zughul,male,32.0044209,35.8765055,King Hussein Cancer Center,,,,Lawrence Berkeley National Laboratory (LBNL),"Berkeley, CA (United States)",,,,,,
0000-0001-7017-0150,co_author,Rafael Badenes,male,39.4789827,-0.3619002,Hospital Clinico Universitario de Valencia,professor,,Departamento de Ingeniería Hidráulica y Medio Ambiente - Departament d'Enginyeria Hidràulica i Medi Ambient,Universitat Politècnica de València,Valencia (Spain),Departamento de Ingeniería Hidráulica y Medio Ambiente - Departament d'Enginyeria Hidràulica i Medi Ambient,Departamento de Ingeniería Hidráulica y Medio Ambiente - Departament d'Enginyeria Hidràulica i Medi Ambient,Transplant Coordinator. Professor Anesthesiology and Intensive Care. University of Valencia,Rafael Badenes,professor,
0000-0003-0923-1625,co_author,Rafael Tamargo,male,,,Johns Hopkins University School of Medicine,,,,,,,,Johns Hopkins University School of Medicine,Rafael Tamargo,,
0000-0002-2989-543X,co_author,Ragha Suresh,female,,,Johns Hopkins University School of Medicine,,,,,,,,,,,
0000-0002-6823-6365,co_author,Raghavan Murugan,male,,,University of Pittsburgh School of Medicine,MS,University of Pittsburgh School of Medicine,Institute of Clinical Research and Education,,,,Institute of Clinical Research and Education,Professor of Critical Care Medicine & Clinical and Translational Science,Raghavan Murugan,professor,
0000-0002-4893-6807,co_author,Raheleh Baharloo,female,,,Herbert Wertheim College of Engineering,PhD,University of Florida,Electrical and Computer Engineering,,,,Electrical and Computer Engineering,University of Florida,Raheleh Baharloo,,PhD
0009-0006-2620-2614,co_author,Rahul Kashyap,male,0.3246284,32.574229,Mayo Clinic,MD ANAESTHESIOLOGY AND CRITICAL CARE ,All India Institute of Medical Sciences Jodhpur,Anaesthesiology and Critical Care ,,,,Anaesthesiology and Critical Care ,"Medical Director Research at WellSpan Health; Assistant Professor of Anesthesiology, Mayo Clinic","Rahul Kashyap, MBBS, MBA, FCCM",professor,MD
0000-0003-3443-1821,co_author,Rahul Nair,male,-37.7,145.18333,National Centre for Nuclear Research (NCBJ),professor,,,,,,,"Professor of Materials Physics, University of Manchester, UK",Rahul R Nair,professor,
0000-0002-0676-1121,co_author,Rahul Raj,male,60.2235701,25.0204656,Helsinki University Hospital,Associate Professor,,,"University of Twente, Faculty of Geo-Information Science and Earth Observation (ITC)",,,,"""Avid Learner and Observer of the Universe: Embracing Knowledge and Innovation""",Rahul Raj,,
0000-0003-1719-1651,co_author,Raimond Winslow,male,39.3271665,-76.6199049,Whiting School of Engineering,,,,,,,,The Johns Hopkins University,Raimond L Winslow,,
0000-0001-5682-0145,co_author,Raimund Helbok,male,47.2595599,11.3871972,Medizinische Universitat Innsbruck,,,,,,,,,,,
0000-0001-5554-5356,co_author,Raja Singh,female,12.9697279,79.1606943,Vellore Institute of Technology,,,,"Authorea, Inc.",,,,Raja Ramanna Centre for Advanced Technology,Gurvinderjit Singh,,
0000-0002-9862-0974,co_author,Rajat Garg,male,28.3992552,79.4371094,Indian Veterinary Research Institute,professor,,,,,,,"Assistant Professor, DBS Global University",RAJAT GARG,professor,
0000-0002-8100-1122,co_author,Rajesh Gupta,female,22.5269276,75.9262066,Indian Institute of Technology Indore,computer science,,,,,,,"Professor of Computer Science and Engineering,  Halıcıoğlu Data Science Institute, UC San Diego",Rajesh K. Gupta,computer science,
0000-0002-4843-4321,co_author,Rajiv Gupta,male,,,Rajasthan University of Health Sciences,,,,,,,,Massachusetts General Hospital,Rajiv Gupta,,
0000-0002-4960-955X,co_author,Rakesh Sinha,female,,,"Birla Institute of Technology, Mesra",PhD,,,"Authorea, Inc.",,,,AT&T Labs -  research,Rakesh K Sinha,,
0000-0003-3440-7717,co_author,Ralph Assmann,female,53.5765813,9.8816127,Deutsches Elektronen-Synchrotron (DESY),,,,,,,,"Head Accelerator Operations and Development, GSI",Ralph Assmann,,
0000-0003-4445-973X,co_author,Ralph Etienne-Cummings,female,39.3271665,-76.6199049,Whiting School of Engineering,PhD,UPenn,Electrical Engineering,,,,Electrical Engineering,Johns Hopkins University,Ralph Etienne-Cummings,,
0000-0002-2012-1526,co_author,Ramanjulu Sunkar,male,36.1284768,-97.0839806,Oklahoma State University,,,,,,,,Oklahoma State University,Ramanjulu Sunkar,,
0000-0003-4105-4083,co_author,Ramon Diaz-Arrastia,male,,,University of Pennsylvania Perelman School of Medicine,"MD, PhD",,,,,,,University of Pennsylvania Perelman School of Medicine,Ramon Diaz-Arrastia,,
0000-0002-2586-1582,co_author,Ramsha Ahmed,female,,,Khalifa University of Science and Technology,,,Funding,OSD or Non-Service DoD Agency,,Funding,Funding,"Khalifa University, Abu Dhabi, UAE",Ramsha Ahmed,,
0000-0002-4418-9576,co_author,Ran Liu,male,31.3011648,121.4980876,Fudan University,M.Phil.,,,Northeastern University,,,,Research Assistant Professor. UNTHSC at Fort Worth,Ran Liu,professor,M.Phil.
0000-0002-4369-1265,co_author,Ran Xiao,male,29.8232371,106.4195884,Southwest University,,,,Research Square,,,,Tsinghua University,Xiao-Ran Jiang,,
0000-0002-7577-6108,co_author,Rana Hejal,female,,,CASE School of Medicine,,,,,,,,,,,
0000-0002-1135-0597,co_author,Ranbir Singh,male,19.0337334,72.9255983,Homi Bhabha National Institute,,,,,,,,Unknown affiliation,ranveer singh,,
0000-0002-8577-8035,co_author,Ranganatha Sitaram,female,35.1543896,-90.042221,St. Jude Children's Research Hospital,PhD Neuroscience,Eberhard Karls Universität Tübingen,Institute of Medical Psychology and Behavioral Neurobiology; School of Medicine,,,,Institute of Medical Psychology and Behavioral Neurobiology; School of Medicine,"Professor/Member and Director, St. Jude Children’s Research Hospital",Ranganatha Sitaram,professor,PhD Neuroscience
0000-0002-4654-691X,co_author,Ranjit Singh,male,10.0568177,76.323021,National Institute of Technical Teachers Training & Research,,,,,,,,sri paramakalyani college,A J A RANJIT SINGH,,
0000-0002-6575-356X,co_author,Raoul Sutter,male,47.5616817,7.5831365,Universitätsspital Basel,"PD, MD",University Hospital of Basel,Medical and Surgical Intensive Care Units,ISRCTN,"London, UK",,Medical and Surgical Intensive Care Units,,,,"PD, MD"
0000-0001-9217-8532,co_author,Raphael Cinotti,male,47.2492395,-1.5478817,Nantes Université,,,,ISRCTN,"London, UK",,,CHU Nantes,Raphaël Cinotti,,
0000-0003-4028-440X,co_author,Raquel Gardner,male,29.6328837,-82.349013,University of Florida,Advanced Training in Clinical Research Certificate ,"University of California, San Francisco",Clinical and Translational Science Institute,,,,Clinical and Translational Science Institute,"Director of Clinical Research, Joseph Sagol Neuroscience Center, Sheba Medical Center, Israel",Raquel C. Gardner,,
0000-0002-8939-141X,co_author,Raunak Nair,male,41.5005343,-81.6220008,Cleveland Clinic Foundation,MD,Cleveland Clinic Foundation,Internal Medicine,,,,Internal Medicine,Cardiology Fellow at Cleveland Clinic,Raunak Nair,fellow,
0000-0001-5377-9474,co_author,Ravali Inja,female,38.6214405,-90.2392793,Cardinal Glennon Children's Hospital,Master of Science (MS),,Computer Science,San Jose State University,"San Jose, CA, USA",Computer Science,Computer Science,,,,
0000-0002-3649-786X,co_author,Rayan Bater,male,32.0044209,35.8765055,King Hussein Cancer Center,,,,ISRCTN,"London, UK",,,"Principal Battery Cell Engineer, Milwaukee Tool",Ryan Kohlmeyer,,
0000-0002-9057-6534,co_author,Rayan Ihle,male,39.3241782,-82.1015648,Ohio University,,,,,,,,,,,
0000-0002-1078-2232,co_author,Raymond Bond,male,54.6040904,-5.9290171,Ulster University,,,,Sandia National Laboratories (SNL),"Albuquerque, NM, and Livermore, CA (United States)",,,University of Ulster,Raymond Bond,,
0000-0003-4378-1014,co_author,Raymond Koehler,male,,,Johns Hopkins University School of Medicine,,,,,,,,,,,
0000-0002-5607-993X,co_author,Raymond Yost,male,53.3894874,-6.2247288,Beaumont Hospital,,,,,,,,,,,Master of Computer Science
0000-0002-7264-0213,co_author,Razan Alamoudi,male,52.47306,-8.43056,King Fahd Armed Forces Hospital,Master of Computer Science,,,Carleton University,"Ottawa, Ontario",,,Unknown affiliation,Razan K Alamoudi,,
0000-0003-4443-5279,co_author,Razan Alghunaim,male,4.75,11.83333,King Faisal Specialist Hospital and Research Centre,,,,,,,,,,,
0000-0002-6425-6916,co_author,Rebeca Khorzad,female,,,Arvin LLC Healthcare Quality Improvement,,,,,,,,,,,
0000-0002-2618-566X,co_author,Rebecca Andersen,female,37.4317709,-122.1769859,Stem Cell Research,md,,,,,,,"Professor, Department of Radiation Physics, University of Texas at MD Anderson Cancer Center","Rebecca M. Howell, PhD",md,MD
0000-0002-3271-5882,co_author,Rebecca Anderson,female,38.46806,106.27306,Pfizer Inc.,Master of Science (M.S.) in Geography,,,Portland State University,,,,"Professor, Department of Radiation Physics, University of Texas at MD Anderson Cancer Center","Rebecca M. Howell, PhD",md,Master of Science (M.S.) in Geography
0000-0002-0668-8083,co_author,Rebecca Baker,female,31.0864146,-97.4642122,Scott and White,Master of Science,,,Iowa State University,,,,University College London,Rebecca Baker,,
0000-0002-3790-3014,co_author,Rebecca Baron,female,42.3356871,-71.106036,Brigham and Women's Hospital,,,,,,,,Icahn School of Medicine,Rebecca B. Baron,,
0000-0002-3604-8247,co_author,Rebecca Clark,female,53.8285786,-3.0263905,Layton Medical Centre,PhD,Virginia Tech,,University of Louisville,,,,Siena College,Rebecca M Clark,,
0000-0002-0185-2323,co_author,Rebecca Duke,female,53.3032938,-6.2144205,National Institute for Bioprocessing Research and Training,professor,,,,,,,"Senior Consultant, National Cancer Center Singapore; Professor, Duke-NUS Medical School",Rebecca Dent,professor,
0000-0001-7690-2615,co_author,Rebecca Fong,female,54.9027916,-1.392096,Durham University,,,,,,,,,,,
0009-0001-2545-9550,co_author,Rebecca German,female,41.1442325,-81.3398321,Kent State University,,,,,,,,NEOMED,Rebecca Z German,,
0000-0002-9504-1256,co_author,Rebecca Gottesman,female,,,Johns Hopkins University School of Medicine,PhD,Johns Hopkins Bloomberg School of Public Health,Clinical Investigations Grad Training Program,,,,Clinical Investigations Grad Training Program,,,,
0000-0003-1179-3571,co_author,Rebecca Kowalski,female,40.7736428,-73.9608619,Lenox Hill Hospital,Minimally Invasive Surgery Fellowship,Baystate Medical Center,Surgery,Joint Transportation Research Program,,,Surgery,Unknown affiliation,Rebecca Kowalski,,
0000-0003-4964-0116,co_author,Rebecca Mock,female,,,University of California Riverside,Master's of Science,University of California Riverside,Environmental Toxicology,,,,Environmental Toxicology,"Reader in Community Practice, Manchester Metropolitan University",Rebecca Lawthom,,
0000-0002-7922-1812,co_author,Rebecca Morgan,female,,,Evidence Foundation,phd,,,,,,,"Department of Health Research Methods, Evidence and Impact, McMaster University","Rebecca L. Morgan, PhD, MPH",phd,
0000-0001-9571-0790,co_author,Rebecca Smith,female,,,UCSF School of Medicine,,,,Idaho National Laboratory (United States),,,,"University of California, San Francisco",Rebecca Smith-Bindman,,
0000-0003-0583-084X,co_author,Regina Campbell-Malone,female,,,Johns Hopkins University School of Medicine,,,,,,,,,,,
0000-0001-6618-6862,co_author,Regina Koch,female,41.8689223,-87.6485848,University of Illinois at Chicago,,,,,,,,,,,
0000-0002-2704-6602,co_author,Reina Suzuki,female,36.4022786,139.8612754,Jichi Medical University,,,,,,,,,,,
0000-0001-5148-1148,co_author,Reinhard Brinkmann,male,53.5765813,9.8816127,Deutsches Elektronen-Synchrotron (DESY),,,,,,,,,,,
0000-0001-6950-1362,co_author,Renan Sanchez-Porras,male,53.1468722,8.1815079,Universität Oldenburg,Mestrado em Mestrado Profissional em Ensino de Matemática,,Instituto de Matemática e Estatística,Universidade de São Paulo,São Paulo,Instituto de Matemática e Estatística,Instituto de Matemática e Estatística,"Oldenburg University, Department of Neurosurgery",Dr. med. Renan Sanchez-Porras MD,md,Mestrado em Mestrado Profissional em Ensino de Matemática
0000-0003-2801-5848,co_author,Renato Bragato,male,45.3742305,9.1651823,Humanitas Research Hospital,Medicina e Chirurgia,Università degli Studi di Milano,,,,,,,,,
0000-0003-3130-0287,co_author,Renato Fedele,male,65.31735,25.3731,Università degli Studi di Napoli Federico II,,,,,,,,"Professore di Fisica della Materia, Università degli Studi di Napoli ""Federico II""",renato fedele,,
0000-0002-1635-6787,co_author,Rendell Ashton,male,41.5045,-81.59707,Cleveland Clinic Lerner College of Medicine of Case Western Reserve University,MD,Johns Hopkins University,School of Medicine,,,,School of Medicine,,,,
0000-0002-4839-9896,co_author,Rendie Mchenry,female,36.1409237,-86.8016342,Vanderbilt University Medical Center,,,,bioRxiv,,,,,,,
0000-0002-9450-2073,co_author,Rene Rodriguez-Gutierrez,female,44.47867,11.63812,"Universidad Autónoma de Nuevo Leon, Facultad de Medicina",DOCTORADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,,,,,,,Mayo Clinic and Universidad Autonoma de Nuevo Leon,"Rene Rodriguez-Gutierrez MD, MSc",msc,DOCTORADO EN CIENCIAS DE LA ACTIVIDAD F�SICA Y DEL DEPORTE
0000-0002-4192-8054,co_author,Renying Wang,male,,,"The First Affiliated Hospital, Zhejiang University School of Medicine",,,,,,,,,,,
0000-0001-6521-8412,co_author,Rex Smith,female,42.3628604,-71.068753,Massachusetts General Hospital,Doctor of Philosophy,,,Research Square,,,,,,,
0000-0001-5519-8905,co_author,Reza Askari,female,60.41553,134.54405,"Food Security Research Center, Isfahan UMS",professor,,,,,,,"Professor of Physics, IPM",Reza Asgari,professor,
0000-0001-7742-4491,co_author,Rhoda Au,female,,,Boston University Chobanian & Avedisian School of Medicine,,,,medRxiv,,,,Boston University,Rhoda Au,,
0000-0002-4724-7292,co_author,Ricardo Fonseca,male,38.7486143,-9.1540202,Iscte – Instituto Universitário de Lisboa,Mestrado,Universidade Católica Portuguesa,Instituto de Ciências da Saúde,,,,Instituto de Ciências da Saúde,"Full Professor, ISCTE - Lisbon University Institute",Ricardo A Fonseca,full professor,
0000-0003-2646-4551,co_author,Ricardo Rodriguez,male,45.3742305,9.1651823,Humanitas Research Hospital,professor,,,,,,,Professor de Sistemática e Ecologia- ESALQ/USP,Ricardo Ribeiro Rodrigues,professor,
0000-0002-1071-4061,co_author,Ricardo Torres,male,63.4411061,10.3481394,Norges Teknisk-Naturvitenskapelige Universitet,Magister en Inteligencia Estratégica Nacional - Siglo XXI,Universidad Pedagógica y Tecnológica de Colombia,,Universidad Nacional de La Plata,,,,"Professor of Chemistry, Instituto de Quimica, Universidad de Antioquia (Colombia)",Ricardo Antonio Torres-Palma,professor,
0000-0002-6613-1789,co_author,Riccardo Mantovani,male,45.3742305,9.1651823,Humanitas Research Hospital,Cardiologist,Università degli Studi di Milano,Cardiology,,,,Cardiology,"Cardiologo, Istituto Clinico Humanitas",Riccardo Mantovani,,
0000-0002-1429-6143,co_author,Riccardo Pompili,male,41.82124,12.66294,"INFN, Laboratori Nazionali Di Frascati",PhD,Universita degli Studi di Roma Tor Vergata,Physics,,,,Physics,INFN,Riccardo Pompili,,
0000-0002-5140-2523,co_author,Richard Gordon,male,49.8091536,-97.1330418,University of Manitoba,Doctor of Philosophy (PhD),,,Louisiana State University and Agricultural & Mechanical College,,,,"Professor of Earth Science, Rice University",Richard G. Gordon,professor,Doctor of Philosophy (PhD)
0000-0003-2401-8611,co_author,Richard Gregg,male,,,Bristol-Myers Squibb Pharmaceutical Research Institute,Doctor of Philosophy (PhD),,,Louisiana State University and Agricultural & Mechanical College,,,,"Principal Scientist, Philips Healthcare",Richard E. Gregg,,Doctor of Philosophy (PhD)
0000-0003-3844-9850,co_author,Richard Grimm,male,41.5013869,-81.6007022,Case Western Reserve University,,,,,,,,University of Maryland School of Medicine,P Richard Grimm,,
0000-0002-2345-0712,co_author,Richard Hotchkiss,male,38.62727,-90.19789,Washington University School of Medicine in St. Louis,professor,,,,,,,"Hopewell Professor of Radiology, Hotchkiss Brain Institute, University of Calgary",Richard Frayne,professor,
0000-0003-4183-7387,co_author,Richard Kloos,male,38.46806,106.27306,"Veracyte, Inc.",,,,,,,,,,,
0000-0002-6832-0591,co_author,Richard Lee,male,42.3657432,-71.1222139,Harvard University,biology,,,American Psychological Association,,,,"Professor of Stem Cell and Regenerative Biology, Harvard University",Richard T. Lee,biology,
0000-0002-2414-1639,co_author,Richard Leigh,male,,,CASE School of Medicine,professor,,,,,,,"Professor and Head, Division of Respiratory Medicine, Department of Medicine, University of Calgary and Alberta Health Services",Richard Leigh,professor,
0000-0002-3572-0572,co_author,Richard Moore,male,,,Johns Hopkins University School of Medicine,,,,,,,,"Michael Smith Genome Sciences Centre, BC Cancer",Richard A Moore,,
0000-0002-0020-8819,co_author,Richard Parsons,male,-35.2822778,149.1143618,Curtin Medical School,PhD Thesis,University of Queensland,School of Business,The University of Queensland,,School of Business,School of Business,"Senior Lecturer in Statistics, Curtin University",Richard Parsons,,
0000-0001-7990-9564,co_author,Richard Pausch,male,51.057451,13.9533109,HZDR - Helmholtz-Zentrum Dresden-Rossendorf,,,,,,,,Helmholtz-Zentrum Dresden - Rossendorf,Richard Pausch,,
0000-0002-7107-9559,co_author,Richard Rice,male,30.4057618,-91.1859745,Louisiana State University,professor,,,,,,,"C. Sidney Burrus Professor, Electrical & Computer Engineering, Rice University",Richard Baraniuk,professor,
0000-0002-0682-6204,co_author,Richard Riker,male,-37.7,145.18333,MaineHealth Institute for Research,,,,,,,,,,,
0000-0002-2540-0284,co_author,Richard Ro,male,37.3351902,-121.881228,San Jose State University,B.S.,Sophie Davis School of Biomedical Education,,"Authorea, Inc.",,,,"Professor of Clinical Pharmacology, University of New South Wales and St Vincent's Hospital, Sydney",Richard O. Day,professor,
0000-0002-5463-8283,co_author,Richard Rothman,male,,,National Institute on Drug Abuse (NIDA),,,,,,,,"IRP, NIDA, NIH",Richard B Rothman,,
0000-0002-2561-5656,co_author,Richard Smith,male,,,Pacific Northwest National Laboratory,Ph.D. in Physical Chemistry,,,,,,,"Michael Smith Genome Sciences Centre, BC Cancer",Richard A Moore,,Ph.D. in Physical Chemistry
0000-0003-3618-1870,co_author,Richard Temes,male,40.7752137,-73.701028,North Shore University Hospital,,,,,,,,,,,
0000-0001-6785-7963,co_author,Richard Thompson,male,-32.0674158,115.8346086,Murdoch University,biology,,,American Psychological Association,,,,"Professor of Marine Biology, Plymouth University, UK",Richard Thompson,biology,
0000-0001-6342-0043,co_author,Riikka Takala,female,60.4533744,22.2925935,Turun Yliopistollinen Keskussairaala,Medical Degree,University of Turku,,,,,,Turku University Hospital,Riikka SK Takala,,
