,Author,Author,Fork,Fork
1568: SEPSIS WARDS OUTCOMES RESEARCH DECISION SUPPORT (SWORDS): COMPARISON OF WARD TO THOSE REQUIRING ICU,0.666666667,0.333333333,1,0
1569: ASSOCIATION BETWEEN PRIMARY ORGAN/SYSTEM DIAGNOSES AND FINAL DISPOSITION AMONG SEPSIS PATIENTS,0.666666667,0.333333333,1,0
1591: OUTCOME ANALYSIS OF PATIENTS WITH AORTIC STENOSIS WITH SEPTIC SHOCK,0.5,0.5,0.5,0.5
"1631: THE RELATIONSHIP BETWEEN QSOFA SCORE, PRELOAD FUNCTIONAL STATUS, AND PATIENT OUTCOME",0.294117647,0.705882353,1,0
1640: EFFECT OF PHENYLEPHRINE PUSHES PRIOR TO CONTINUOUS NOREPINEPHRINE IN PATIENTS WITH SEPTIC SHOCK,0.333333333,0.666666667,0,1
1711: MORTALITY IN MEDICAL PATIENTS WITH HEMORRHAGIC SHOCK IS ASSOCIATED WITH HIGHER BLOOD GLUCOSE LEVEL,0,1,0,1
175: COMPARISON OF NASAL AND FOREHEAD OXIMETRY ACCURACY AND PRESSURE INJURY IN CRITICALLY ILL PATIENTS,0.5,0.5,0,1
1794: AN UNUSUAL CASE OF SALMONELLA CAUSING PNEUMONIA AND SEPTIC SHOCK IN AN IMMUNOCOMPETENT PATIENT,0.75,0.25,1,0
183: VARIATION IN USE OF HIGH-FLOW NASAL CANNULA AND NONINVASIVE VENTILATION IN COVID-19,0.526315789,0.473684211,1,0
1866: ANGIOEDEMA FROM COMBINATION SITAGLIPTIN AND LISINOPRIL IN A DIABETIC PATIENT,1,0,1,0
19: A MACHINE LEARNING-BASED PREDICTION OF CARDIAC ARREST OUTCOME USING A LARGE MULTICENTER DATABASE,0.181818182,0.818181818,0,1
1The epidemiology of critical illness brain dysfunction,0,1,0,1
2019 year in review: patient-ventilator synchrony,0,1,0,1
202: RACIAL DIFFERENCES IN COMMERCIAL MONITORING SOFTWARE DETECTION OF ATRIAL FIBRILLATION,0.5,0.5,1,0
20: METABOLIC SYNDROME AND ARDS IN COVID-19,0.473684211,0.526315789,1,0
21: Trends in Vital Signs Predict Critical Deterioration in Pediatric Intensive Care Unit Transfers,0.5,0.5,0,1
2317-PUB: Diabetic Ketoacidosis in Adult Type 1 Diabetes Mellitus Patients on Insulin Pumps,0,1,0,1
238: EFFECT OF SIMULATION TRAINING ON INTUBATION PRACTICES OF FELLOWS IN A TRAINING PROGRAM,0.25,0.75,0,1
245: CHANGES IN T-CELL SUBSETS ARE CORRELATED WITH MODS SCORE CHANGES AND NUTRITIONAL STATUS.,0,1,0,1
257: ECMO TO THE RESCUE OF A PATIENT WITH FAT EMBOLISM SYNDROME,0,1,0,1
279: D-DIMER-GUIDED ANTICOAGULATION PROPHYLAXIS THERAPY IN COVID-19 IS SAFE AND PREVENTS THROMBOSIS,0.230769231,0.769230769,0,1
27: Machine Learning Prediction of Intensive Care Unit Delirium,0.571428571,0.428571429,0,1
288: COVID-19-ASSOCIATED PULMONARY MUCORMYCOSIS IN POSTPARTUM ECMO PATIENT TREATED WITH SALVAGE THERAPY,0,1,0,1
290: CARDIOPULMONARY ARREST IN THE MEDICAL ICU SETTING: A REVIEW OF ACLS PROTOCOL ADHERENCE,0.4,0.6,0,1
301 use of transfer learning to improve external validity of a machine-learning algorithm to predict septic shock in the emergency department,1,0,1,0
"313: Characteristics, Outcomes, and 60-Day Mortality of Acute Kidney Injury in COVID-19 Patients in ICU",0.428571429,0.571428571,0,1
318: RISK FACTORS FOR DIABETIC KETOACIDOSIS TREATMENT FAILURE IN MEDICALLY CRITICALLY ILL PATIENTS,0.5,0.5,1,0
319: REFRACTORY HYPOXEMIA IN ACUTE RESPIRATORY DISTRESS SYNDROME: SYSTEMATIC REVIEW OF DIAGNOSTIC CRITERIA,0.5,0.5,0,1
332: ENTERAL NUTRITION ADMINISTRATION IN THE ICU: ACHIEVING GOALS WITH BETTER STRATEGIES,0.571428571,0.428571429,0,1
333: UTILITY OF LUNG ULTRASOUND BEFORE AND AFTER CENTRAL VENOUS CATHETER PLACEMENT TO RULE OUT PNEUMOTHORAX,0.428571429,0.571428571,0,1
337: ONE-YEAR OUTCOMES AFTER IMPLEMENTATION OF AN ICU EARLY MOBILITY PROTOCOL,0.666666667,0.333333333,0,1
33: DEVELOPMENT OF AN ICU-BASED PHARMACY TECHNICIAN TO IMPROVE THE MEDICATION DISTRIBUTION PROCESS,0,1,1,0
35^ e Congres de l'association de neuro-anesthesie reanimation de langue francaise,1,0,0,1
35th Congress of the French association of neuro-anesthesiology and critical care,1,0,0,1
"361: Epidemiology, Complications, and Outcomes of Stress Cardiomyopathy in Critical Care",0.333333333,0.666666667,0,1
369: A DESCRIPTION OF PATIENTS IN ANHEPATIC PHASE POST PRIMARY GRAFT NON-FUNCTION,0.428571429,0.571428571,0,1
371: DETERMINING THE NEEDS OF SURVIVORS OF PEDIATRIC CRITICAL ILLNESS,0.714285714,0.285714286,0,1
386: Incidence of Diastolic Dysfunction and Right Ventricular Dysfunction in Severe Sepsis & Septic Shock,0.333333333,0.666666667,1,0
386: LEGIONELLA IN THE ICU: A DECADE OF EXPERIENCE AT A TERTIARY CARE CENTER,0.5,0.5,0,1
387: PERCEPTIONS OF TELEVISION-BASED EDUCATION IN THE ICU: A COMPARISON BETWEEN PATIENTS AND PROVIDERS,0.25,0.75,1,0
388: EFFECTIVENESS OF AN INTENSIVE PROGRAM TO TEACH COMMUNICATION SKILLS TO CRITICAL CARE FELLOWS,0.714285714,0.285714286,0,1
3D High-Resolution Whole-Brain Perfusion Measurment Using Pseudo-Continuous ASL at Multiple Post-Labeling Delays,0,1,0,1
400: Predicting delirium risk for the following 24 hours in critically ill patients using deep learning,0.333333333,0.666666667,1,0
402: EXPLORING MORTALITY IN TELE-INTENSIVIST DELIVERY MODELS WITH AND WITHOUT 24/7 BEDSIDE INTENSIVISTS,0.285714286,0.714285714,1,0
"420: SIMULATION TRAINING TO PREPARE PHARMACY RESIDENTS FOR HIGH-STRESS, HIGH-IMPACT CLINICAL SCENARIOS",0,1,1,0
"421: EMERGENCE OF ACUTE GI ILLNESS IN PREDISPOSITION, INSULT, RESPONSE, OUTCOMES (PIRO) SEPSIS MODEL",0.333333333,0.666666667,1,0
42: VANCOMYCIN AND PIPERACILLIN-TAZOBACTAM OR CEFEPIME AND SEPSIS-ASSOCIATED AKI TRAJECTORY,0.333333333,0.666666667,1,0
432: DETRIMENTAL EFFECT OF SUPPLEMENTAL DEXTROSE INFUSIONS IN THE INTENSIVE CARE UNIT,0.666666667,0.333333333,1,0
437: DIFFERENCE IN PREVALENCE OF PATIENT-VENTILATOR ASYNCHRONY DURING MECHANICAL VENTILATION BETWEEN MODES,0.5,0.5,0,1
448: Retrospective Evaluation of Two Diabetic Ketoacidosis Protocols in Hospitalized Patients,1,0,1,0
452: COMPARISON OF HIGH DOSE VERSUS STANDARD DOSE OSELTAMIVIR IN CRITICALLY ILL PATIENTS WITH INFLUENZA,1,0,1,0
464: Computational Endotypes in ICU Stratum Traumatic Brain Injury Patients,0,1,0,1
472: ECMO SURVIVORS CLINIC: ASSESSMENT OF PSYCHOLOGIC AND PULMONARY FUNCTION IN VV ECMO SURVIVORS,0.25,0.75,0,1
478: IMPACT OF THE DURATION OF N-ACETYLCYSTEINE FOR NON-ACETAMINOPHEN-INDUCED ACUTE LIVER FAILURE,0.571428571,0.428571429,0,1
485: Hypertriglyceridemia-Induced Pancreatitis in ICU: Complications and Outcomes in a 26-Patient Series,0,1,0,1
490: PREDICTING INTENSIVE CARE READMISSION AMONG HOSPITALIZED CHILDREN,0.5,0.5,0,1
492: The Neighborhood Effect of Critical Events in Pediatric ICU Patients,0.25,0.75,0,1
49: USE OF SESSION-SPECIFIC HASHTAGS TO ENHANCE THE REACH OF THE CRITICAL CARE CONGRESS IN SOCIAL MEDIA,0.375,0.625,1,0
504: PERICARDIAL TAMPONADE AND OBSTRUCTIVE SHOCK: COMPLICATION OF TENECTEPLASE FOR ACUTE ISCHEMIC STROKE,0.666666667,0.333333333,0,1
539â€“Wearable Devices Can Predict Disease Activity in Inflammatory Bowel Disease Patients,0,1,0,1
540: Pressure Ulcer Incidence with Patients Wearing Nasal/Oral Compared to Full Face NIV Masks,0.625,0.375,0,1
556: USER-ENGAGED DESIGN OF A GRAPHICAL USER INTERFACE FOR INSTABILITY DECISION SUPPORT IN THE ICU,0.571428571,0.428571429,1,0
"566: Effect of Early Enteral Nutrition on Muscle Size, Quality, and Strength in Critically Ill Patients",0.75,0.25,1,0
569: A COMPARISON BETWEEN ARTIFICIAL INTELLIGENT ALGORITHMS AND CLINICIANS IN PREDICTING ICU DISCHARGES,0.142857143,0.857142857,0,1
586: EHRLICHIOSIS PRESENTING AS SEVERE SEPSIS AND MENINGOENCEPHALITIS IN AN IMMUNOCOMPETENT ADULT,1,0,1,0
593: PERSISTENT RHABDOMYOLYSIS FOLLOWING LIVER TRANSPLANTATION FOR EXERTIONAL HEATSTROKE,0.5,0.5,0,1
597: A Unique Case of Methemoglobinemia in the Setting of Topical Lidocaine,0.4,0.6,0,1
666: identifying pressure injury risk factors in adult critical care patients,0.333333333,0.666666667,0,1
667: Non-Pharmacological Delirium Prevention Interventions in the Medical ICU,0.333333333,0.666666667,0,1
668: POST-OPERATIVE INTRA-ABDOMINAL SEPSIS PRESENTING WITH A CLINICAL PICTURE MASQUERADING AS PULMONARY EMBOLISM,0.3,0.7,0,1
"674: Same Tools, Different Results: Physician and Nurse Assessments of Mental Status in the Medical ICU",0.333333333,0.666666667,0,1
682: DEFINING ‚ÄúFLOW STARVATION‚Äù IN VOLUME CONTROL MECHANICAL VENTILATION,0.25,0.75,0,1
6: A Machine Learning Model to Predict Brain Trauma Outcome in the Intensive Care Unit,0.5,0.5,0,1
701: REDUCING TIDAL VOLUME BY INCREASING FREQUENCY: A SIMULATION-BASED VENTILATOR PERFORMANCE COMPARISON,0.333333333,0.666666667,0,1
724: Evaluation of a Comfort Measures Only Computer Order Entry-set on Improving Care at the End of Life,0.25,0.75,0,1
743: Computational Endotypes of ICU Delirium,0.571428571,0.428571429,0,1
744: Gastric Reflux: Association with Aspiration and Oral Secretion pH as Marker of Reflux,0.2,0.8,0,1
745: FEVER BURDEN AFTER SUBARACHNOID HEMORRHAGE AND THE INCREASED USE OF ANTIBIOTICS,0.5,0.5,1,0
748: THIAMINE BLOOD LEVELS ARE ASSOCIATED WITH ILLNESS SEVERITY BUT NOT DELIRIUM IN CRITICAL ILLNESS,0.8,0.2,1,0
764: ASSOCIATION BETWEEN ICU RISK PREDICTION SCORES AND ICU NEEDS AMONG ACUTE ISCHEMIC STROKE PATIENTS,0.5,0.5,1,0
765: CLINICAL CHARACTERISTICS AND HOSPITAL OUTCOMES AMONG YOUNG ACUTE ISCHEMIC STROKE PATIENTS,0.5,0.5,1,0
767: OPTIMAL DURATION OF CONTINUOUS EEG MONITORING IN ANEURYSMAL SUBARACHNOID HEMORRHAGE,0.714285714,0.285714286,0,1
771: MACHINE LEARNING PREDICTION OF RESPONSIVENESS PHENOTYPES IN NON-NEUROLOGIC ICU PATIENTS,0.5,0.5,0,1
771: incidence and associated consequences of hyperchloremia in aneurysmal subarachnoid hemorrhage,0.666666667,0.333333333,1,0
777: INCIDENCE AND ETIOLOGY OF POTENTIALLY PREVENTABLE ICU READMISSIONS,0.5,0.5,0,1
781: THE EFFECT OF TELE-ICU INNOVATION ON PROGRESSIVE CARE UNIT (PCU) PATIENT POPULATION,0.375,0.625,1,0
7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,0.470588235,0.529411765,1,0
812: EFFECTS OF AN ADMISSION SCREEN FOR EARLY PALLIATIVE CONSULT SCREEN IN THE MICU,0.692307692,0.307692308,0,1
815: A QUALITY ASSURANCE INVESTIGATION OF CLABSIS: ARE THERE EXCEPTIONS TO NEVER?,0.6,0.4,0,1
829: Cisatracurium for Acute Respiratory Distress Syndrome on Extracorporeal Membrane Oxygenation,0.25,0.75,1,0
834: DISCREPANCIES IN MEASURING BLADDER VOLUMES WITH BEDSIDE ULTRASOUND AND BLADDER SCANNING IN THE ICU,0.375,0.625,0,1
851: RESPIRATORY DECOMPENSATION IN POST-OPERATIVE ABDOMINAL SEPSIS,0.4,0.6,0,1
"854: CASE REPORT: ASPERGILLUS FUMIGATUS NECROTIZING PSEUDOMEBRANOUS TRACHEOBRONCHITIS AND INVASIVE PULMONARY ASPERGILLOSIS IN AN IMMUNOCOMPETENT HOST, USE OF COMBINATION ‚Ä¶",0.5,0.5,0,1
857: PATIENT AND FAMILY COMMUNICATION BUNDLE IMPLEMENTATION IN AN INTENSIVE CARE UNIT (ICU),0.6,0.4,0,1
859: DEVELOPMENT OF A STANDARDIZED FAMILY COMMUNICATION BUNDLE FOR USE IN AN INTENSIVE CARE UNIT,0.6,0.4,0,1
866: ENHANCING SAFETY AND IMPROVING CARE OF TRACHEOSTOMY AND LARYNGECTOMY PATIENTS,0.5,0.5,0,1
870: INCIDENCE OF ASYNCHRONIES DURING INVASIVE MECHANICAL VENTILATION OBSERVED OVER 2 MINUTES,0.5,0.5,0.5,0.5
877: FEASIBILITY OF CONTINUOUS CAPNOGRAPHY MONITORING OF NON-INTUBATED PATIENTS AT RISK OF DECOMPENSATION,0.571428571,0.428571429,0,1
878: ICU UTILIZATION AND OUTCOME OF OBSTETRIC POPULATION IN TERTIARY CARE CENTER: A 13-YEAR EXPERIENCE,0.571428571,0.428571429,0,1
886: IMPROVING CAREGIVERS PERCEPTIONS REGARDING PATIENT GOALS OF CARE/END OF LIFE (GOC/EOL) ISSUES FOR THE MULTIDISCIPLINARY CRITICAL CARE TEAM,0.7,0.3,0,1
889: AKI WITH AUC VERSUS TROUGH-GUIDED VANCOMYCIN MONITORING WITH CONCOMITANT BETA-LACTAMS IN THE ICU,0.6,0.4,1,0
895: PROTOCOLIZED CARE FOR ACUTE RESPIRATORY DISTRESS SYNDROME: BEFORE AND DURING THE PANDEMIC,0.363636364,0.636363636,0,1
899: POST-OPERATIVE HYPOXIA-IS IT PULMONARY EMBOLISM OR ABDOMINAL SEPSIS?-DIAGNOSIS MATTERS,0.5,0.5,0,1
8: A NOVEL ICU HAND-OFF TOOL: THE GLASS DOOR OF THE PATIENT ROOM,0.285714286,0.714285714,0,1
904: OUTCOMES OF COMPLICATED PARAPNEUMONIC EFFUSIONS TREATED WITH INTRAPLEURAL TISSUE PLASMINOGEN,0.166666667,0.833333333,0,1
930: IMPROVING MULTIDISCIPLINARY INVOLVEMENT AT THE CRITICAL CARE CONGRESS THROUGH SOCIAL MEDIA,0.714285714,0.285714286,1,0
937: Point-of-Care ultrasonography in Detection of Right Ventricular Dysfunction in Critically Ill Adults,0,1,0,1
944: PROPYLENE GLYCOL TOXICITY FROM PENTOBARBITAL INFUSION IN REFRACTORY STATUS EPILEPTICUS,1,0,1,0
957: THE ASSOCIATION OF EARLY ANTIBIOTIC USE WITH PROLONGED MECHANICAL VENTILATION IN SEVERE COVID-19,0.5,0.5,0,1
961: Use of Fenoldopam in the Treatment of Calcineurin Inhibitor Induced Nephrotoxicity,1,0,1,0
976: CHARACTERISTICS AND OUTCOMES OF SEVERE HYPONATREMIA (NA‚â§ 125 MEQ/L) IN THE MICU: A RETROSPECTIVE STUDY,0.5,0.5,1,0
A CLUE for better assessment of donor lungs: novel technique in clinical ex vivo lung perfusion,0.4,0.6,1,0
A Case Report of Listeria Meningitis with Severe Rhabdomyolysis and Normal Renal Function,0.333333333,0.666666667,0,1
A Case of Austrian‚Äôs Triad in the ICU Complicated by Subarachnoid Hemorrhage,0.333333333,0.666666667,0,1
A Case of Spurious Hypoxemia in an ICU Patient With Leukemic Blast Crisis,0.5,0.5,0,1
A Comparison Between Sensitivity Analysis of Oxygenation Severity and Acute Respiratory Distress Syndrome (ARDS) of a Machine Learning Algorithm to Predict Hypoxic Respiratory ‚Ä¶,1,0,1,0
A Computational Model to Predict Brain Trauma Outcome in the Intensive Care Unit,0.5,0.5,0,1
A Computational Model to Predict Hospital Readmission,1,0,0,1
A Computational Model to Predict Successful Extubation from Mechanical Ventilation in ICU Patients,0,1,0,1
A FHIR-enabled streaming sepsis prediction system for ICUs,0.4,0.6,1,0
A Framework for Developing a Multidisciplinary Approach to Prone Positioning in Acute Respiratory Distress Syndrome,0.285714286,0.714285714,0,1
A Man with Pleural Effusion and Patient‚ÄìVentilator Dyssynchrony,0.5,0.5,0,1
A Method to Explore Variations of Ventilator-Associated Event Surveillance Definitions in Large Critical Care Databases in the United States,0.571428571,0.428571429,0.5,0.5
A Mixed Methods Study of Tele-ICU Nursing Interventions to Prevent Failure to Rescue of Patients in Critical Care,1,0,1,0
A NATIONAL SURVEY OF CENTRAL VENOUS CATHETER FLUSHING PRACTICES IN THE INTENSIVE CARE UNIT,0.75,0.25,0,1
A Novel Model for Comprehensive Intensive Care Unit Delirium Management,1,0,0,1
