Fork Name,Publication Title,High Income Co-authors 2017,Low Income Co-authors 2017,Total Co-authors 2017,High Income Co-authors 2023,Low Income Co-authors 2023,Total Co-authors 2023
Anoop Mayampurath,"Febrile Neutropenia Syndromes in Children: Should Management Differ for Primary, Persistent, Recurrent or Engraftment Fever?",4,0,4,,,
Anoop Mayampurath,IP123. Gender Differences in Carotid Artery Restenosis Rates Following Surgical Intervention,3,0,3,,,
Anoop Mayampurath,Using Age as a Prognostic Factor for Short-term Survival Improves Life Support Allocation Under Crisis Standards of Care,,,,4,0,4
Chenyue Lu,Z cells activated by zinc finger-like protein and uses thereof in cancer treatment,0,3,3,,,
Donna Lee Armaignac,7: ASSESSMENT OF READMISSION RISK FACTORS AFTER INDEX HOSPITAL DISCHARGE FOR COVID-19 PATIENTS,,,,15,0,15
Donna Lee Armaignac,Descriptive Comparison of Two Models of Tele-Critical Care Delivery in a Large Multi-Hospital Health Care System,,,,6,0,6
Donna Lee Armaignac,Discharge Disposition and Loss of Independence Among Survivors of COVID-19 Admitted to Intensive Care: Results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,,,,3,0,3
Donna Lee Armaignac,Discharge disposition and loss of independence among survivors of COVID-19 admitted to intensive care: results From the SCCM Discovery Viral Infection and Respiratory Illness ‚Ä¶,,,,23,0,23
Donna Lee Armaignac,Hurricane Irma‚Äì‚ÄòNo‚ÄôClinical Impact,8,0,8,,,
Donna Lee Armaignac,Improving ICU Risk Predictive Models Through Automation Designed for Resiliency Against Documentation Bias,,,,3,0,3
Donna Lee Armaignac,Irma-No Clinical Impact,3,0,3,,,
Donna Lee Armaignac,Positive Impact of Tele-ICU Monitoring on Hospital Mortality and Cost Among Patients in Progressive Care With Cardiovascular Disease: Experience From a Large Healthcare System,10,0,10,,,
Donna Lee Armaignac,Presentation#: V10-01: Teletriage: Application of a Tele-ICU Infrastructure to Enhance Patient Care Experience in the Emergency Department,3,0,3,,,
Donna Lee Armaignac,The Impact of Asthma and Metabolic Syndrome in COVID-19: An Analysis of the Virus COVID-19 Registry,,,,15,3,18
Eduardo Mireles-Cabodevila,895: PROTOCOLIZED CARE FOR ACUTE RESPIRATORY DISTRESS SYNDROME: BEFORE AND DURING THE PANDEMIC,,,,12,0,12
Eduardo Mireles-Cabodevila,904: OUTCOMES OF COMPLICATED PARAPNEUMONIC EFFUSIONS TREATED WITH INTRAPLEURAL TISSUE PLASMINOGEN,,,,2,0,2
Eduardo Mireles-Cabodevila,A Framework for Developing a Multidisciplinary Approach to Prone Positioning in Acute Respiratory Distress Syndrome,,,,6,0,6
Eduardo Mireles-Cabodevila,Abnormal thrombosis and neutrophil activation increase hospital-acquired sacral pressure injuries and morbidity in COVID-19 patients,,,,15,0,15
Eduardo Mireles-Cabodevila,Comparison of Expert Recommended Ventilation Strategies in Simulated Obstructive Lung Disease,,,,2,0,2
Eduardo Mireles-Cabodevila,Early Extracorporeal Membranous Oxygenation (ECMO) Referral Leads to Less ECMO Use,,,,4,6,10
Eduardo Mireles-Cabodevila,Esophageal Pressure Measurement: A Primer,,,,3,0,3
Eduardo Mireles-Cabodevila,Feasibility of mid-frequency ventilation among infants with respiratory distress syndrome,4,0,4,,,
Eduardo Mireles-Cabodevila,Modeling of lung function recovery in neuralgic amyotrophy with diaphragm impairment,1,0,1,,,
Eduardo Mireles-Cabodevila,"Neuromuscular weakness in chronic obstructive pulmonary disease: chest wall, diaphragm, and peripheral muscle contributions",2,0,2,,,
Eduardo Mireles-Cabodevila,Noninvasive positive pressure in acute exacerbations of chronic obstructive pulmonary disease,,,,2,0,2
Eduardo Mireles-Cabodevila,On the need for standard definitions and education to optimize patient-ventilator interactions,2,0,2,,,
Eduardo Mireles-Cabodevila,Peripheral administration of norepinephrine: a prospective observational study,,,,4,0,4
Eduardo Mireles-Cabodevila,Physiologic Markers of Disease Severity in ARDS,,,,4,0,4
Eduardo Mireles-Cabodevila,Revisiting ultrasound-guided subclavian/axillary vein cannulations: importance of pleural avoidance with rib trajectory,6,0,6,,,
Eduardo Mireles-Cabodevila,Sleep in amyotrophic lateral sclerosis,1,0,1,,,
Eduardo Mireles-Cabodevila,Ventilation Strategies in Simulated Obstructive Lung Disease,,,,2,0,2
Keiko Kunitoki,Genetic patterning for child psychopathology is distinct from that for adults and implicates fetal cerebellar development,,,,9,0,9
Keiko Kunitoki,Mean diffusivity of basal ganglia and thalamus specifically associated with motivational states among mood states,26,0,26,,,
Keiko Kunitoki,The VEGF gene polymorphism impacts brain volume and arterial blood volume,32,0,32,,,
Keiko Kunitoki,The anterior midcingulate cortex as a neural node underlying hostility in young adults,29,0,29,,,
Keiko Kunitoki,"Uncovering and mitigating bias in large, automated MRI analyses of brain development",,,,11,0,11
Keiko Kunitoki,Youth Team Sports Participation Associates With Reduced Dimensional Psychopathology Through Interaction With Biological Risk Factors,,,,4,0,4
Marilyn Schallom,A novel ICU hand-over tool: the glass door of the patient room,6,0,6,,,
Marilyn Schallom,Improving caregivers‚Äô perceptions regarding patient goals of care/end-of-life issues for the multidisciplinary critical care team,6,0,6,,,
Marilyn Schallom,Pressure injuries in critical care: a survey of critical care nurses,6,0,6,,,
Marilyn Schallom,Retrospective review of postoperative glycemic control in patients after distal pancreatectomy,1,0,1,,,
Marilyn Schallom,patient perception of fall risk in the acute care setting,,,,13,0,13
Mary E. Lough,Critical Bias in Critical Care Devices,,,,11,7,18
Mary E. Lough,Emergency Nurses‚Äô Well-Being in Magnet Hospitals and Recommendations for Improvements in Work Environments: A Multicenter Cross-Sectional Observational Study,,,,41,0,41
Mary E. Lough,Establishment and Evaluation of a Protocol of Coud√© Catheter Placement by Nurses for Urinary Catheterization in Adult Males.,,,,3,0,3
Mary E. Lough,"Physician and nurse well-being and preferred interventions to address burnout in hospital practice: factors associated with turnover, outcomes, and patient safety",,,,32,0,32
Melissa L. Thompson Bastin,1206: BETA-LACTAM DOSING IN PATIENTS WITH SEPSIS AND AKI: A MULTICENTER OBSERVATIONAL STUDY,,,,14,0,14
Melissa L. Thompson Bastin,"Assessment of Symptom, Disability, and Financial Trajectories in Patients Hospitalized for COVID-19 at 6 Months",,,,101,0,101
Melissa L. Thompson Bastin,C50 CRITICAL CARE: NON-PULMONARY CRITICAL CARE PROBLEMS: Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,4,0,4,,,
Melissa L. Thompson Bastin,Caring for two in the ICU: Pharmacotherapy in the critically ill pregnant patient,,,,8,0,8
Melissa L. Thompson Bastin,Caring for two in the ICU: pharmacologic management of pregnancy‚Äêrelated complications,,,,8,0,8
Melissa L. Thompson Bastin,Hemodynamic Instability Following Vasopressin Withdrawal In Septic Shock,6,0,6,,,
Mohammed J. Al-Jaghbeer,"A case of birt-hogg-dube, presenting with recurrent pneumothorax, managed with intrabronchial valve placement",2,0,2,,,
Mohammed J. Al-Jaghbeer,"Assessment of Symptom, Disability, and Financial Trajectories in Patients Hospitalized for COVID-19 at 6 Months",,,,101,0,101
Mohammed J. Al-Jaghbeer,COMPASS-CAT versus Khorana risk assessment model for predicting venous thromboembolic events in patients with non-small cell lung cancer on active treatment with chemotherapy ‚Ä¶,,,,3,21,24
Mohammed J. Al-Jaghbeer,Cardiovascular Adverse Events after COVID-19 Vaccination,,,,5,0,5
Mohammed J. Al-Jaghbeer,Clinical Outcomes After Multi-Disciplinary Evaluation for Lung Volume Reduction Surgery for Patients With Chronic Obstructive Pulmonary Disease,,,,4,1,5
Mohammed J. Al-Jaghbeer,Outcomes after cardiac arrest in Medical Intensive Care Unit: A propensity score matching analysis of COVID-19 MICU vs non COVID-19 MICU cardiac arrest,,,,5,1,6
"Robert David Stevens, MD, FCCM",A Real-Time Deep Learning Approach for Inferring Intracranial Pressure from Routinely Measured Extracranial Waveforms in the Intensive Care Unit,,,,7,0,7
"Robert David Stevens, MD, FCCM",A focus on subtle signs and motor behavior to unveil awareness in unresponsive brain-impaired patients: the importance of being clinical,,,,3,0,3
"Robert David Stevens, MD, FCCM",A multi-modal array of interpretable features to evaluate language and speech patterns in different neurological disorders,,,,4,0,4
"Robert David Stevens, MD, FCCM",Assistive Multimodal Wearable for Open Air Digit Recognition Using Machine Learning,,,,2,0,2
"Robert David Stevens, MD, FCCM",Association of Noninvasive Respiratory Support with Extubation Outcomes in Brain-injured Patients Receiving Mechanical Ventilation: A Secondary Analysis of the ENIO Prospective ‚Ä¶,,,,10,0,10
"Robert David Stevens, MD, FCCM",Author reply: DoC: a pathophysiological continuum with high variabiity?,,,,1,0,1
"Robert David Stevens, MD, FCCM",Author reply: Too less experiments for an ALE-meta analysis?,,,,1,0,1
"Robert David Stevens, MD, FCCM",Cognitive Motor Dissociation: Gap Analysis and Future Directions,,,,15,0,15
"Robert David Stevens, MD, FCCM",Comparative effectiveness of decompressive craniectomy versus craniotomy for traumatic acute subdural hematoma (CENTER-TBI): an observational cohort study,,,,133,10,143
"Robert David Stevens, MD, FCCM",Computational modelling in disorders of consciousness: closing the gap towards personalised models for restoring consciousness,,,,5,3,8
"Robert David Stevens, MD, FCCM",Contribution of clinical course to outcome after traumatic brain injury: mining patient trajectories from European intensive care unit data,,,,4,0,4
"Robert David Stevens, MD, FCCM",Determinants of Professional Fulfillment and Burnout Among Intensivists: A National Survey by the Society of Critical Care Anesthesiologists in 2022,,,,8,0,8
"Robert David Stevens, MD, FCCM",Determinants of prognosis in neurocatastrophes,0,3,3,,,
"Robert David Stevens, MD, FCCM",Development of a core outcome set for ventilation trials in neurocritical care patients with acute brain injury: protocol for a Delphi consensus study of international stakeholders,,,,14,0,14
"Robert David Stevens, MD, FCCM",Hyperacute Prediction of Targeted Temperature Management Outcome After Cardiac Arrest,,,,7,0,7
"Robert David Stevens, MD, FCCM",Incidence and Outcomes of Acute Respiratory Distress Syndrome in Brain-Injured Patients Receiving Invasive Ventilation: A Secondary Analysis of the ENIO Study,,,,9,0,9
"Robert David Stevens, MD, FCCM",Individualized Thresholds of Hypoxemia and Hyperoxemia and their Effect on Outcome in Acute Brain Injured Patients: A Secondary Analysis of the ENIO Study,,,,9,0,9
"Robert David Stevens, MD, FCCM",Mechanical Ventilation in patients with traumatic brain injury: Is it so Different?,,,,3,0,3
"Robert David Stevens, MD, FCCM",Mining the contribution of intensive care clinical course to outcome after traumatic brain injury,,,,4,0,4
"Robert David Stevens, MD, FCCM",Mining the contribution of intensive care clinical course to outcome after traumatic brain injury.,,,,4,0,4
"Robert David Stevens, MD, FCCM",Multilingual evaluation of interpretable biomarkers to represent language and speech patterns in Parkinson's disease,,,,4,0,4
"Robert David Stevens, MD, FCCM",Nationwide clinical practice patterns of anesthesiology critical care physicians: A survey to members of the Society of Critical Care Anesthesiologists,,,,8,0,8
"Robert David Stevens, MD, FCCM",Optimal Design of Clinical Trials Involving Persons with Disorders of Consciousness,,,,9,0,9
"Robert David Stevens, MD, FCCM",Physiological effects of early incremental mobilization of a patient with acute intracerebral and intraventricular hemorrhage requiring dual external ventricular drainage,3,0,3,,,
"Robert David Stevens, MD, FCCM",Predicting Intensive Care Delirium with Machine Learning: Model Development and External Validation,,,,4,0,4
"Robert David Stevens, MD, FCCM",Recommendations from the Working Group on Neuroimaging,,,,9,0,9
"Robert David Stevens, MD, FCCM",Reply to: The Effectiveness of Prophylactic Use of HFNC and NIPPV on Reintubation: Concerning the Heterogeneity of ABI Patients,,,,4,0,4
"Robert David Stevens, MD, FCCM","Traumatic brain injury: integrated approaches to improve prevention, clinical care, and research",167,13,180,,,
"Robert David Stevens, MD, FCCM",Unsupervised Machine Learning Unveil Easily Identifiable Subphenotypes of COVID-19 With Differing Disease Trajectories,,,,5,0,5
"Robert David Stevens, MD, FCCM",Utilization of mechanical power and associations with clinical outcomes in brain injured patients: a secondary analysis of the extubation strategies in neuro-intensive care ‚Ä¶,,,,15,0,15
"Robert David Stevens, MD, FCCM",Variation in monitoring and treatment policies for intracranial hypertension in traumatic brain injury: a survey in 66 neurotrauma centers participating in the CENTER-TBI study,16,0,16,,,
Salah Al-Zaiti,202: RACIAL DIFFERENCES IN COMMERCIAL MONITORING SOFTWARE DETECTION OF ATRIAL FIBRILLATION,,,,10,0,10
Salah Al-Zaiti,An annotated ventricular tachycardia (VT) alarm database: Toward a uniform standard for optimizing automated VT identification in hospitalized patients,,,,10,0,10
Salah Al-Zaiti,Evaluating the Diagnostic Accuracy of Clinical Risk Scores to Detect Acute Coronary Syndrome in Patients Evaluated at the Emergency Department for a Chief Complaint of Chest Pain,2,0,2,,,
Salah Al-Zaiti,Evaluation of beat-to-beat ventricular repolarization lability from standard 12‚Äêlead ECG during acute myocardial ischemia,8,0,8,,,
Salah Al-Zaiti,Forecasting imminent atrial fibrillation in long-term electrocardiogram recordings,,,,6,0,6
Salah Al-Zaiti,Incidence and Predictors of Delaying Seeking Emergent Medical Care Among Patients With Suspected Acute Coronary Syndrome,5,0,5,,,
Salah Al-Zaiti,Incorporation of Serial 12-Lead Electrocardiogram With Machine Learning to Augment the Out-of-Hospital Diagnosis of Non-ST Elevation Acute Coronary Syndrome,,,,13,0,13
Salah Al-Zaiti,Integrating multimodal information in machine learning for classifying acute myocardial infarction,,,,3,3,6
Salah Al-Zaiti,Machine Learning for the ECG Diagnosis and Risk Stratification of Occlusion Myocardial Infarction at First Medical Contact,,,,33,0,33
Salah Al-Zaiti,Machine learning for ECG diagnosis and risk stratification of occlusion myocardial infarction,,,,23,0,23
Salah Al-Zaiti,PO-02-021 DIRECTION OF REPOLARIZATION IN BASELINE ECG IS PREDICTIVE OF RESPONSE TO CARDIAC RESYNCHRONIZATION THERAPY,,,,9,0,9
Salah Al-Zaiti,Predicting anti-cancer treatment-related symptoms in patients with head and neck cancer using a machine learning approach: A scoping review,,,,12,0,12
Salah Al-Zaiti,Predictors of Emergency Medical Personnel‚Äôs Decision to Transmit or Not to Transmit the Prehospital 12-Lead ECG of Patients With Suspected Acute Myocardial Infarction,2,0,2,,,
Salah Al-Zaiti,Similar ECG Features in 2 Different Diagnoses,3,0,3,,,
Salah Al-Zaiti,Spatial indices of repolarization correlate with non-ST elevation myocardial ischemia in patients with chest pain,13,0,13,,,
Salah Al-Zaiti,The Prevalence of Secondary Repolarization Abnormalities Confounding the Electrocardiographic Diagnosis of Acute Myocardial Ischemia in Patients Presenting With Chest Pain,3,0,3,,,
Salah Al-Zaiti,Time of Day and Day of Week Variations in Chest Pain Encounters at the Prehospital Setting,2,0,2,,,
Salah Al-Zaiti,Unsupervised machine learning identifies symptoms of indigestion as a predictor of acute decompensation and adverse cardiac events in patients with heart failure presenting to ‚Ä¶,,,,13,0,13
Siddharth Dugar,1179: NOVEL ECHOCARDIOGRAPHIC PHENOTYPES FOR ASSESSMENT OF SYSTOLIC FUNCTION IN PATIENTS WITH SEPSIS,,,,7,0,7
Siddharth Dugar,1186: IMPACT OF ECHOCARDIOGRAPHY ON IN-HOSPITAL MORTALITY IN ADULT SEPSIS AND SEPTIC SHOCK,,,,4,0,4
Siddharth Dugar,Acute orthodeoxia: evaluation using point-of-care ultrasound imaging,3,0,3,,,
Siddharth Dugar,Adjunctive Vasopressors in Patients with Septic Shock: Protocol for a Systematic Review and Meta-Analysis,,,,3,0,3
Siddharth Dugar,"Assessment of Symptom, Disability, and Financial Trajectories in Patients Hospitalized for COVID-19 at 6 Months",,,,101,0,101
Siddharth Dugar,Cardiogenic shock complicating sepsis and septic shock: A national inpatient sample analysis.,,,,7,0,7
Siddharth Dugar,Correlation between Tissue Doppler-derived left ventricular systolic velocity (mitral S‚Äô) and left ventricle ejection fraction (LVEF) in sepsis and septic shock: A ‚Ä¶,,,,16,0,16
Siddharth Dugar,Correlation between tissue Doppler-derived left ventricular systolic velocity (S‚Äô) and left ventricle ejection fraction in sepsis and septic shock: a retrospective cohort study,,,,16,0,16
Siddharth Dugar,Early serial echocardiographic and ultrasonographic findings in critically ill patients with COVID-19,,,,154,12,166
Siddharth Dugar,Echocardiographic Profile of Cirrhotic Patients with Sepsis and Septic Shock: A Propensity Score Matched Case-Control Study,,,,7,0,7
Siddharth Dugar,Echocardiographic profiles and hemodynamic response after vasopressin initiation in septic shock: A cross-sectional study,,,,3,0,3
Siddharth Dugar,"Intravenous aviptadil and remdesivir for treatment of COVID-19-associated hypoxaemic respiratory failure in the USA (TESICO): a randomised, placebo-controlled trial",,,,87,4,91
Siddharth Dugar,Is left ventricular systolic dysfunction associated with increased mortality among patients with sepsis and septic shock?,,,,7,0,7
Siddharth Dugar,Lung Ultrasonographic Signs in Pulmonary Disease‚ÄìA Video Review,,,,3,0,3
Siddharth Dugar,"Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings, Part 1",,,,20,0,20
Siddharth Dugar,Mechanisms of acute right ventricular injury in cardiothoracic surgical and critical care settings: part 2,,,,17,0,17
Siddharth Dugar,Mortality of in-hospital cardiac arrest among patients with and without preceding sepsis: A national inpatient sample analysis,,,,4,1,5
Siddharth Dugar,On the need for standard definitions and education to optimize patient-ventilator interactions,2,0,2,,,
Siddharth Dugar,Peripheral administration of norepinephrine: a prospective observational study,,,,4,0,4
Siddharth Dugar,Pleural Infection and Gastric Distension: Finding the Connection With Sonographic Inspection,,,,4,0,4
Siddharth Dugar,Prevalence and Prognosis of Sepsis-Induced Cardiomyopathy: A Systematic Review and Meta-Analysis,,,,8,0,8
Siddharth Dugar,Refractory Hypoxia in a Mechanically Ventilated Patient,2,0,2,,,
Siddharth Dugar,The relationship between norepinephrine equivalent dose of vasopressors within 24 hours from the onset of septic shock and in-hospital mortality rate,,,,2,0,2
SumitKapoor,504: PERICARDIAL TAMPONADE AND OBSTRUCTIVE SHOCK: COMPLICATION OF TENECTEPLASE FOR ACUTE ISCHEMIC STROKE,,,,5,0,5
SumitKapoor,B Cell Lymphoma Associated Hemophagocytic Lymphohistiocytosis (hlh) Presenting As Fulminant Liver Failure,3,0,3,,,
SumitKapoor,Clot-in-transit: A ticking time bomb in the heart with serious consequences,,,,10,0,10
SumitKapoor,Critical care management and intensive care unit outcomes following cytoreductive surgery with hyperthermic intraperitoneal chemotherapy,14,0,14,,,
SumitKapoor,Diffuse large B-cell lymphoma with secondary hemophagocytic lymphohistiocytosis presenting as acute liver failure,6,0,6,,,
SumitKapoor,Plasmapheresis for refractory pruritus due to drug-induced cholestasis,9,0,9,,,
SumitKapoor,Septic Pulmonary Emboli-A Cause For Recurrent Bilateral Pneumothorax,3,0,3,,,
Susan McLean,"Prospective, multicenter study of antimicrobial-coated, noncrosslinked, acellular porcine dermal matrix (XenMatrix‚Ñ¢ AB Surgical Graft) for hernia repair in all centers for ‚Ä¶",,,,7,0,7
Susan McLean,Trauma patients warrant upper and lower extremity venous duplex ultrasound surveillance,5,0,5,,,
